PU Histórico - Gerado em 17/02/2019 12:19:54

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	SCID11	1.000,000000	33,385706	-	1.033,385706	Padrão - SND	Reg.	
14/02/2019	SCID11	1.000,000000	33,074355	-	1.033,074355	Padrão - SND	Reg.	
13/02/2019	SCID11	1.000,000000	32,763096	-	1.032,763096	Padrão - SND	Reg.	
12/02/2019	SCID11	1.000,000000	32,451927	-	1.032,451927	Padrão - SND	Reg.	
11/02/2019	SCID11	1.000,000000	32,140860	-	1.032,140860	Padrão - SND	Reg.	
08/02/2019	SCID11	1.000,000000	31,829875	-	1.031,829875	Padrão - SND	Reg.	
07/02/2019	SCID11	1.000,000000	31,518991	-	1.031,518991	Padrão - SND	Reg.	
06/02/2019	SCID11	1.000,000000	31,208198	-	1.031,208198	Padrão - SND	Reg.	
05/02/2019	SCID11	1.000,000000	30,897508	-	1.030,897508	Padrão - SND	Reg.	
04/02/2019	SCID11	1.000,000000	30,586898	-	1.030,586898	Padrão - SND	Reg.	
01/02/2019	SCID11	1.000,000000	30,276391	-	1.030,276391	Padrão - SND	Reg.	
31/01/2019	SCID11	1.000,000000	29,965974	-	1.029,965974	Padrão - SND	Reg.	
30/01/2019	SCID11	1.000,000000	29,655650	-	1.029,655650	Padrão - SND	Reg.	
29/01/2019	SCID11	1.000,000000	29,345426	-	1.029,345426	Padrão - SND	Reg.	
28/01/2019	SCID11	1.000,000000	29,035284	-	1.029,035284	Padrão - SND	Reg.	
25/01/2019	SCID11	1.000,000000	28,725244	-	1.028,725244	Padrão - SND	Reg.	
24/01/2019	SCID11	1.000,000000	28,415294	-	1.028,415294	Padrão - SND	Reg.	
23/01/2019	SCID11	1.000,000000	28,105436	-	1.028,105436	Padrão - SND	Reg.	
22/01/2019	SCID11	1.000,000000	27,795670	-	1.027,795670	Padrão - SND	Reg.	
21/01/2019	SCID11	1.000,000000	27,486005	-	1.027,486005	Padrão - SND	Reg.	
18/01/2019	SCID11	1.000,000000	27,176431	-	1.027,176431	Padrão - SND	Reg.	
17/01/2019	SCID11	1.000,000000	26,866949	-	1.026,866949	Padrão - SND	Reg.	
16/01/2019	SCID11	1.000,000000	26,557558	-	1.026,557558	Padrão - SND	Reg.	
15/01/2019	SCID11	1.000,000000	26,248258	-	1.026,248258	Padrão - SND	Reg.	
14/01/2019	SCID11	1.000,000000	25,939059	-	1.025,939059	Padrão - SND	Reg.	
11/01/2019	SCID11	1.000,000000	25,629951	-	1.025,629951	Padrão - SND	Reg.	
10/01/2019	SCID11	1.000,000000	25,320935	-	1.025,320935	Padrão - SND	Reg.	
09/01/2019	SCID11	1.000,000000	25,012011	-	1.025,012011	Padrão - SND	Reg.	
08/01/2019	SCID11	1.000,000000	24,703178	-	1.024,703178	Padrão - SND	Reg.	
07/01/2019	SCID11	1.000,000000	24,394435	-	1.024,394435	Padrão - SND	Reg.	
04/01/2019	SCID11	1.000,000000	24,085794	-	1.024,085794	Padrão - SND	Reg.	
03/01/2019	SCID11	1.000,000000	23,777244	-	1.023,777244	Padrão - SND	Reg.	
02/01/2019	SCID11	1.000,000000	23,468786	-	1.023,468786	Padrão - SND	Reg.	
31/12/2018	SCID11	1.000,000000	23,160418	-	1.023,160418	Padrão - SND	Reg.	
28/12/2018	SCID11	1.000,000000	22,852151	-	1.022,852151	Padrão - SND	Reg.	
27/12/2018	SCID11	1.000,000000	22,543967	-	1.022,543967	Padrão - SND	Reg.	
26/12/2018	SCID11	1.000,000000	22,235883	-	1.022,235883	Padrão - SND	Reg.	
24/12/2018	SCID11	1.000,000000	21,927890	-	1.021,927890	Padrão - SND	Reg.	
21/12/2018	SCID11	1.000,000000	21,619988	-	1.021,619988	Padrão - SND	Reg.	
20/12/2018	SCID11	1.000,000000	21,312178	-	1.021,312178	Padrão - SND	Reg.	
