PU Histórico - Gerado em 07/10/2018 01:19:09

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	SEDU11	1.000,000000	10,181718	-	1.010,181718	Padrão - SND	Reg.	
04/10/2018	SEDU11	1.000,000000	9,897163	-	1.009,897163	Padrão - SND	Reg.	
03/10/2018	SEDU11	1.000,000000	9,612697	-	1.009,612697	Padrão - SND	Reg.	
02/10/2018	SEDU11	1.000,000000	9,328300	-	1.009,328300	Padrão - SND	Reg.	
01/10/2018	SEDU11	1.000,000000	9,043991	-	1.009,043991	Padrão - SND	Reg.	
28/09/2018	SEDU11	1.000,000000	8,760133	-	1.008,760133	Padrão - SND	Reg.	
27/09/2018	SEDU11	1.000,000000	8,476354	-	1.008,476354	Padrão - SND	Reg.	
26/09/2018	SEDU11	1.000,000000	8,192653	-	1.008,192653	Padrão - SND	Reg.	
25/09/2018	SEDU11	1.000,000000	7,909031	-	1.007,909031	Padrão - SND	Reg.	
24/09/2018	SEDU11	1.000,000000	7,625498	-	1.007,625498	Padrão - SND	Reg.	
21/09/2018	SEDU11	1.000,000000	7,342034	-	1.007,342034	Padrão - SND	Reg.	
20/09/2018	SEDU11	1.000,000000	7,058649	-	1.007,058649	Padrão - SND	Reg.	
19/09/2018	SEDU11	1.000,000000	6,775354	-	1.006,775354	Padrão - SND	Reg.	
18/09/2018	SEDU11	1.000,000000	6,492137	-	1.006,492137	Padrão - SND	Reg.	
17/09/2018	SEDU11	1.000,000000	6,208989	-	1.006,208989	Padrão - SND	Reg.	
14/09/2018	SEDU11	1.000,000000	5,925929	-	1.005,925929	Padrão - SND	Reg.	
13/09/2018	SEDU11	1.000,000000	5,642949	-	1.005,642949	Padrão - SND	Reg.	
12/09/2018	SEDU11	1.000,000000	5,360047	-	1.005,360047	Padrão - SND	Reg.	
11/09/2018	SEDU11	1.000,000000	5,077225	-	1.005,077225	Padrão - SND	Reg.	
10/09/2018	SEDU11	1.000,000000	4,794482	-	1.004,794482	Padrão - SND	Reg.	
06/09/2018	SEDU11	1.000,000000	4,511816	-	1.004,511816	Padrão - SND	Reg.	
05/09/2018	SEDU11	1.000,000000	4,229230	-	1.004,229230	Padrão - SND	Reg.	
04/09/2018	SEDU11	1.000,000000	3,946723	-	1.003,946723	Padrão - SND	Reg.	
03/09/2018	SEDU11	1.000,000000	3,664306	-	1.003,664306	Padrão - SND	Reg.	
31/08/2018	SEDU11	1.000,000000	3,381956	-	1.003,381956	Padrão - SND	Reg.	
30/08/2018	SEDU11	1.000,000000	3,099695	-	1.003,099695	Padrão - SND	Reg.	
29/08/2018	SEDU11	1.000,000000	2,817503	-	1.002,817503	Padrão - SND	Reg.	
28/08/2018	SEDU11	1.000,000000	2,535401	-	1.002,535401	Padrão - SND	Reg.	
27/08/2018	SEDU11	1.000,000000	2,253367	-	1.002,253367	Padrão - SND	Reg.	
24/08/2018	SEDU11	1.000,000000	1,971422	-	1.001,971422	Padrão - SND	Reg.	
23/08/2018	SEDU11	1.000,000000	1,689555	-	1.001,689555	Padrão - SND	Reg.	
22/08/2018	SEDU11	1.000,000000	1,407757	-	1.001,407757	Padrão - SND	Reg.	
21/08/2018	SEDU11	1.000,000000	1,126048	-	1.001,126048	Padrão - SND	Reg.	
20/08/2018	SEDU11	1.000,000000	0,844418	-	1.000,844418	Padrão - SND	Reg.	
17/08/2018	SEDU11	1.000,000000	0,562867	-	1.000,562867	Padrão - SND	Reg.	
16/08/2018	SEDU11	1.000,000000	0,281394	-	1.000,281394	Padrão - SND	Reg.	
15/08/2018	SEDU11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
14/08/2018	SEDU11	1.000,000000	36,036346	-	1.036,036346	Padrão - SND	Reg.	
13/08/2018	SEDU11	1.000,000000	35,744901	-	1.035,744901	Padrão - SND	Reg.	
10/08/2018	SEDU11	1.000,000000	35,453525	-	1.035,453525	Padrão - SND	Reg.	
09/08/2018	SEDU11	1.000,000000	35,162240	-	1.035,162240	Padrão - SND	Reg.	
08/08/2018	SEDU11	1.000,000000	34,871033	-	1.034,871033	Padrão - SND	Reg.	
07/08/2018	SEDU11	1.000,000000	34,579907	-	1.034,579907	Padrão - SND	Reg.	
06/08/2018	SEDU11	1.000,000000	34,288870	-	1.034,288870	Padrão - SND	Reg.	
03/08/2018	SEDU11	1.000,000000	33,997902	-	1.033,997902	Padrão - SND	Reg.	
02/08/2018	SEDU11	1.000,000000	33,707025	-	1.033,707025	Padrão - SND	Reg.	
01/08/2018	SEDU11	1.000,000000	33,416227	-	1.033,416227	Padrão - SND	Reg.	
31/07/2018	SEDU11	1.000,000000	33,125519	-	1.033,125519	Padrão - SND	Reg.	
30/07/2018	SEDU11	1.000,000000	32,834880	-	1.032,834880	Padrão - SND	Reg.	
27/07/2018	SEDU11	1.000,000000	32,544331	-	1.032,544331	Padrão - SND	Reg.	
26/07/2018	SEDU11	1.000,000000	32,253862	-	1.032,253862	Padrão - SND	Reg.	
25/07/2018	SEDU11	1.000,000000	31,963472	-	1.031,963472	Padrão - SND	Reg.	
24/07/2018	SEDU11	1.000,000000	31,673162	-	1.031,673162	Padrão - SND	Reg.	
23/07/2018	SEDU11	1.000,000000	31,382941	-	1.031,382941	Padrão - SND	Reg.	
20/07/2018	SEDU11	1.000,000000	31,092800	-	1.031,092800	Padrão - SND	Reg.	
19/07/2018	SEDU11	1.000,000000	30,802738	-	1.030,802738	Padrão - SND	Reg.	
18/07/2018	SEDU11	1.000,000000	30,512757	-	1.030,512757	Padrão - SND	Reg.	
17/07/2018	SEDU11	1.000,000000	30,222853	-	1.030,222853	Padrão - SND	Reg.	
16/07/2018	SEDU11	1.000,000000	29,933041	-	1.029,933041	Padrão - SND	Reg.	
13/07/2018	SEDU11	1.000,000000	29,643308	-	1.029,643308	Padrão - SND	Reg.	
12/07/2018	SEDU11	1.000,000000	29,353654	-	1.029,353654	Padrão - SND	Reg.	
11/07/2018	SEDU11	1.000,000000	29,064080	-	1.029,064080	Padrão - SND	Reg.	
10/07/2018	SEDU11	1.000,000000	28,774585	-	1.028,774585	Padrão - SND	Reg.	
09/07/2018	SEDU11	1.000,000000	28,485179	-	1.028,485179	Padrão - SND	Reg.	
06/07/2018	SEDU11	1.000,000000	28,195853	-	1.028,195853	Padrão - SND	Reg.	
05/07/2018	SEDU11	1.000,000000	27,906607	-	1.027,906607	Padrão - SND	Reg.	
04/07/2018	SEDU11	1.000,000000	27,617440	-	1.027,617440	Padrão - SND	Reg.	
03/07/2018	SEDU11	1.000,000000	27,328353	-	1.027,328353	Padrão - SND	Reg.	
02/07/2018	SEDU11	1.000,000000	27,039355	-	1.027,039355	Padrão - SND	Reg.	
29/06/2018	SEDU11	1.000,000000	26,750427	-	1.026,750427	Padrão - SND	Reg.	
28/06/2018	SEDU11	1.000,000000	26,461587	-	1.026,461587	Padrão - SND	Reg.	
27/06/2018	SEDU11	1.000,000000	26,172828	-	1.026,172828	Padrão - SND	Reg.	
26/06/2018	SEDU11	1.000,000000	25,884158	-	1.025,884158	Padrão - SND	Reg.	
25/06/2018	SEDU11	1.000,000000	25,595557	-	1.025,595557	Padrão - SND	Reg.	
22/06/2018	SEDU11	1.000,000000	25,307046	-	1.025,307046	Padrão - SND	Reg.	
21/06/2018	SEDU11	1.000,000000	25,018604	-	1.025,018604	Padrão - SND	Reg.	
20/06/2018	SEDU11	1.000,000000	24,730251	-	1.024,730251	Padrão - SND	Reg.	
19/06/2018	SEDU11	1.000,000000	24,441988	-	1.024,441988	Padrão - SND	Reg.	
18/06/2018	SEDU11	1.000,000000	24,153795	-	1.024,153795	Padrão - SND	Reg.	
15/06/2018	SEDU11	1.000,000000	23,865680	-	1.023,865680	Padrão - SND	Reg.	
14/06/2018	SEDU11	1.000,000000	23,577655	-	1.023,577655	Padrão - SND	Reg.	
13/06/2018	SEDU11	1.000,000000	23,289710	-	1.023,289710	Padrão - SND	Reg.	
12/06/2018	SEDU11	1.000,000000	23,001843	-	1.023,001843	Padrão - SND	Reg.	
11/06/2018	SEDU11	1.000,000000	22,714056	-	1.022,714056	Padrão - SND	Reg.	
08/06/2018	SEDU11	1.000,000000	22,426349	-	1.022,426349	Padrão - SND	Reg.	
07/06/2018	SEDU11	1.000,000000	22,138730	-	1.022,138730	Padrão - SND	Reg.	
06/06/2018	SEDU11	1.000,000000	21,851182	-	1.021,851182	Padrão - SND	Reg.	
05/06/2018	SEDU11	1.000,000000	21,563722	-	1.021,563722	Padrão - SND	Reg.	
04/06/2018	SEDU11	1.000,000000	21,276342	-	1.021,276342	Padrão - SND	Reg.	
01/06/2018	SEDU11	1.000,000000	20,989041	-	1.020,989041	Padrão - SND	Reg.	
30/05/2018	SEDU11	1.000,000000	20,701819	-	1.020,701819	Padrão - SND	Reg.	
29/05/2018	SEDU11	1.000,000000	20,414687	-	1.020,414687	Padrão - SND	Reg.	
28/05/2018	SEDU11	1.000,000000	20,127624	-	1.020,127624	Padrão - SND	Reg.	
25/05/2018	SEDU11	1.000,000000	19,840650	-	1.019,840650	Padrão - SND	Reg.	
24/05/2018	SEDU11	1.000,000000	19,553756	-	1.019,553756	Padrão - SND	Reg.	
23/05/2018	SEDU11	1.000,000000	19,266941	-	1.019,266941	Padrão - SND	Reg.	
22/05/2018	SEDU11	1.000,000000	18,980204	-	1.018,980204	Padrão - SND	Reg.	
21/05/2018	SEDU11	1.000,000000	18,693548	-	1.018,693548	Padrão - SND	Reg.	
18/05/2018	SEDU11	1.000,000000	18,406980	-	1.018,406980	Padrão - SND	Reg.	
17/05/2018	SEDU11	1.000,000000	18,120482	-	1.018,120482	Padrão - SND	Reg.	
16/05/2018	SEDU11	1.000,000000	17,834072	-	1.017,834072	Padrão - SND	Reg.	
15/05/2018	SEDU11	1.000,000000	17,547743	-	1.017,547743	Padrão - SND	Reg.	
