PU Histórico - Gerado em 07/10/2018 01:19:17

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	SFLS12	1.000,000000	3.106,565800	-	4.106,565800	Padrão - SND	Reg.	
04/10/2018	SFLS12	1.000,000000	3.105,555010	-	4.105,555010	Padrão - SND	Reg.	
03/10/2018	SFLS12	1.000,000000	3.104,544470	-	4.104,544470	Padrão - SND	Reg.	
02/10/2018	SFLS12	1.000,000000	3.103,534180	-	4.103,534180	Padrão - SND	Reg.	
01/10/2018	SFLS12	1.000,000000	3.102,524140	-	4.102,524140	Padrão - SND	Reg.	
28/09/2018	SFLS12	1.000,000000	3.101,515870	-	4.101,515870	Padrão - SND	Reg.	
27/09/2018	SFLS12	1.000,000000	3.100,507840	-	4.100,507840	Padrão - SND	Reg.	
26/09/2018	SFLS12	1.000,000000	3.099,500060	-	4.099,500060	Padrão - SND	Reg.	
25/09/2018	SFLS12	1.000,000000	3.098,492530	-	4.098,492530	Padrão - SND	Reg.	
24/09/2018	SFLS12	1.000,000000	3.097,485240	-	4.097,485240	Padrão - SND	Reg.	
21/09/2018	SFLS12	1.000,000000	3.096,478200	-	4.096,478200	Padrão - SND	Reg.	
20/09/2018	SFLS12	1.000,000000	3.095,471410	-	4.095,471410	Padrão - SND	Reg.	
19/09/2018	SFLS12	1.000,000000	3.094,464870	-	4.094,464870	Padrão - SND	Reg.	
18/09/2018	SFLS12	1.000,000000	3.093,458580	-	4.093,458580	Padrão - SND	Reg.	
17/09/2018	SFLS12	1.000,000000	3.092,452530	-	4.092,452530	Padrão - SND	Reg.	
14/09/2018	SFLS12	1.000,000000	3.091,446730	-	4.091,446730	Padrão - SND	Reg.	
13/09/2018	SFLS12	1.000,000000	3.090,441180	-	4.090,441180	Padrão - SND	Reg.	
12/09/2018	SFLS12	1.000,000000	3.089,435870	-	4.089,435870	Padrão - SND	Reg.	
11/09/2018	SFLS12	1.000,000000	3.088,430810	-	4.088,430810	Padrão - SND	Reg.	
