PU Histórico - Gerado em 07/10/2018 16:26:09

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	SNGO14	1.000,000000	5,070671	-	1.005,070671	Padrão - SND	Reg.	
04/10/2018	SNGO14	1.000,000000	4,707361	-	1.004,707361	Padrão - SND	Reg.	
03/10/2018	SNGO14	1.000,000000	4,344182	-	1.004,344182	Padrão - SND	Reg.	
02/10/2018	SNGO14	1.000,000000	3,981145	-	1.003,981145	Padrão - SND	Reg.	
01/10/2018	SNGO14	1.000,000000	3,618227	-	1.003,618227	Padrão - SND	Reg.	
28/09/2018	SNGO14	1.000,000000	3,255821	-	1.003,255821	Padrão - SND	Reg.	
27/09/2018	SNGO14	1.000,000000	2,893534	-	1.002,893534	Padrão - SND	Reg.	
26/09/2018	SNGO14	1.000,000000	2,531387	-	1.002,531387	Padrão - SND	Reg.	
25/09/2018	SNGO14	1.000,000000	2,169372	-	1.002,169372	Padrão - SND	Reg.	
24/09/2018	SNGO14	1.000,000000	1,807477	-	1.001,807477	Padrão - SND	Reg.	
21/09/2018	SNGO14	1.000,000000	1,445721	-	1.001,445721	Padrão - SND	Reg.	
20/09/2018	SNGO14	1.000,000000	1,084095	-	1.001,084095	Padrão - SND	Reg.	
19/09/2018	SNGO14	1.000,000000	0,722600	-	1.000,722600	Padrão - SND	Reg.	
18/09/2018	SNGO14	1.000,000000	0,361235	-	1.000,361235	Padrão - SND	Reg.	
17/09/2018	SNGO14	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
14/09/2018	SNGO14	1.000,000000	7,613400	-	1.007,613400	Padrão - SND	Reg.	
13/09/2018	SNGO14	1.000,000000	7,249548	-	1.007,249548	Padrão - SND	Reg.	
12/09/2018	SNGO14	1.000,000000	6,885826	-	1.006,885826	Padrão - SND	Reg.	
11/09/2018	SNGO14	1.000,000000	6,522236	-	1.006,522236	Padrão - SND	Reg.	
10/09/2018	SNGO14	1.000,000000	6,158776	-	1.006,158776	Padrão - SND	Reg.	
