PU Histórico - Gerado em 17/02/2019 12:20:05

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	SRTI11	926,337549	10,638529	-	936,976078	Padrão - SND	Reg.	
14/02/2019	SRTI11	926,208912	10,382375	-	936,591286	Padrão - SND	Reg.	
13/02/2019	SRTI11	926,080274	10,126360	-	936,206634	Padrão - SND	Reg.	
12/02/2019	SRTI11	925,951655	9,870485	-	935,822140	Padrão - SND	Reg.	
11/02/2019	SRTI11	925,823055	9,614751	-	935,437806	Padrão - SND	Reg.	
08/02/2019	SRTI11	926,200217	9,364269	-	935,564487	Padrão - SND	Reg.	
07/02/2019	SRTI11	926,043486	9,108399	-	935,151885	Padrão - SND	Reg.	
06/02/2019	SRTI11	925,886774	8,852684	-	934,739458	Padrão - SND	Reg.	
05/02/2019	SRTI11	925,730099	8,597124	-	934,327222	Padrão - SND	Reg.	
04/02/2019	SRTI11	925,573441	8,341720	-	933,915161	Padrão - SND	Reg.	
01/02/2019	SRTI11	925,416821	8,086471	-	933,503292	Padrão - SND	Reg.	
31/01/2019	SRTI11	925,260210	7,831377	-	933,091587	Padrão - SND	Reg.	
30/01/2019	SRTI11	925,103646	7,576438	-	932,680084	Padrão - SND	Reg.	
29/01/2019	SRTI11	924,947099	7,321654	-	932,268753	Padrão - SND	Reg.	
28/01/2019	SRTI11	924,790571	7,067025	-	931,857596	Padrão - SND	Reg.	
25/01/2019	SRTI11	924,634089	6,812550	-	931,446640	Padrão - SND	Reg.	
24/01/2019	SRTI11	924,477608	6,558231	-	931,035839	Padrão - SND	Reg.	
23/01/2019	SRTI11	924,345190	6,304230	-	930,649420	Padrão - SND	Reg.	
22/01/2019	SRTI11	924,184771	6,050187	-	930,234958	Padrão - SND	Reg.	
21/01/2019	SRTI11	924,024380	5,796301	-	929,820681	Padrão - SND	Reg.	
18/01/2019	SRTI11	923,864017	5,542572	-	929,406588	Padrão - SND	Reg.	
17/01/2019	SRTI11	923,703681	5,288998	-	928,992679	Padrão - SND	Reg.	
16/01/2019	SRTI11	923,543373	5,035581	-	928,578954	Padrão - SND	Reg.	
15/01/2019	SRTI11	923,383092	4,782322	-	928,165414	Padrão - SND	Reg.	
14/01/2019	SRTI11	923,310245	4,529646	-	927,839891	Padrão - SND	Reg.	
11/01/2019	SRTI11	922,824895	4,275169	-	927,100064	Padrão - SND	Reg.	
10/01/2019	SRTI11	922,776352	4,022929	-	926,799281	Padrão - SND	Reg.	
09/01/2019	SRTI11	922,727818	3,770785	-	926,498603	Padrão - SND	Reg.	
08/01/2019	SRTI11	922,679274	3,518736	-	926,198010	Padrão - SND	Reg.	
07/01/2019	SRTI11	922,630740	3,266781	-	925,897521	Padrão - SND	Reg.	
04/01/2019	SRTI11	922,582206	3,014921	-	925,597127	Padrão - SND	Reg.	
03/01/2019	SRTI11	922,533672	2,763157	-	925,296829	Padrão - SND	Reg.	
02/01/2019	SRTI11	922,485147	2,511487	-	924,996634	Padrão - SND	Reg.	
31/12/2018	SRTI11	922,436613	2,259913	-	924,696526	Padrão - SND	Reg.	
28/12/2018	SRTI11	922,388097	2,008432	-	924,396529	Padrão - SND	Reg.	
27/12/2018	SRTI11	922,339573	1,757047	-	924,096619	Padrão - SND	Reg.	
26/12/2018	SRTI11	922,291057	1,505755	-	923,796812	Padrão - SND	Reg.	
24/12/2018	SRTI11	922,242541	1,254560	-	923,497101	Padrão - SND	Reg.	
21/12/2018	SRTI11	922,194026	1,003459	-	923,197484	Padrão - SND	Reg.	
20/12/2018	SRTI11	922,145510	0,752452	-	922,897962	Padrão - SND	Reg.	
19/12/2018	SRTI11	922,097004	0,501541	-	922,598544	Padrão - SND	Reg.	
18/12/2018	SRTI11	922,048497	0,250723	-	922,299220	Padrão - SND	Reg.	
17/12/2018	SRTI11	922,000000	-  	-	922,000000	Padrão - SND	Reg.	
14/12/2018	SRTI11	1.001,263100	9,848246	-	1.011,111346	Padrão - SND	Reg.	
13/12/2018	SRTI11	1.001,363370	9,574339	-	1.010,937709	Padrão - SND	Reg.	
12/12/2018	SRTI11	1.001,463640	9,300451	-	1.010,764091	Padrão - SND	Reg.	
11/12/2018	SRTI11	1.001,563910	9,026583	-	1.010,590493	Padrão - SND	Reg.	
10/12/2018	SRTI11	1.001,664200	8,752735	-	1.010,416935	Padrão - SND	Reg.	
07/12/2018	SRTI11	1.002,696810	8,486798	-	1.011,183608	Padrão - SND	Reg.	
06/12/2018	SRTI11	1.002,735020	8,212225	-	1.010,947245	Padrão - SND	Reg.	
05/12/2018	SRTI11	1.002,773240	7,937706	-	1.010,710946	Padrão - SND	Reg.	
04/12/2018	SRTI11	1.002,811450	7,663241	-	1.010,474691	Padrão - SND	Reg.	
03/12/2018	SRTI11	1.002,849670	7,388830	-	1.010,238500	Padrão - SND	Reg.	
30/11/2018	SRTI11	1.002,887890	7,114473	-	1.010,002363	Padrão - SND	Reg.	
29/11/2018	SRTI11	1.002,926110	6,840169	-	1.009,766279	Padrão - SND	Reg.	
28/11/2018	SRTI11	1.002,964340	6,565918	-	1.009,530258	Padrão - SND	Reg.	
27/11/2018	SRTI11	1.003,002560	6,291722	-	1.009,294282	Padrão - SND	Reg.	
26/11/2018	SRTI11	1.003,040790	6,017579	-	1.009,058369	Padrão - SND	Reg.	
23/11/2018	SRTI11	1.003,150710	5,743901	-	1.008,894611	Padrão - SND	Reg.	
22/11/2018	SRTI11	1.003,174600	5,469767	-	1.008,644367	Padrão - SND	Reg.	
21/11/2018	SRTI11	1.003,198490	5,195696	-	1.008,394186	Padrão - SND	Reg.	
20/11/2018	SRTI11	1.003,222390	4,921686	-	1.008,144076	Padrão - SND	Reg.	
19/11/2018	SRTI11	1.003,246280	4,647737	-	1.007,894017	Padrão - SND	Reg.	
16/11/2018	SRTI11	1.002,768540	4,371663	-	1.007,140203	Padrão - SND	Reg.	
14/11/2018	SRTI11	1.003,065480	4,099090	-	1.007,164570	Padrão - SND	Reg.	
13/11/2018	SRTI11	1.002,860830	3,824517	-	1.006,685347	Padrão - SND	Reg.	
12/11/2018	SRTI11	1.002,656210	3,550129	-	1.006,206339	Padrão - SND	Reg.	
09/11/2018	SRTI11	1.002,451640	3,275928	-	1.005,727568	Padrão - SND	Reg.	
08/11/2018	SRTI11	1.002,247100	3,001913	-	1.005,249013	Padrão - SND	Reg.	
07/11/2018	SRTI11	1.002,450940	2,729196	-	1.005,180136	Padrão - SND	Reg.	
06/11/2018	SRTI11	1.002,205570	2,455341	-	1.004,660911	Padrão - SND	Reg.	
05/11/2018	SRTI11	1.001,960270	2,181694	-	1.004,141964	Padrão - SND	Reg.	
01/11/2018	SRTI11	1.001,715020	1,908256	-	1.003,623276	Padrão - SND	Reg.	
31/10/2018	SRTI11	1.001,469840	1,635025	-	1.003,104865	Padrão - SND	Reg.	
30/10/2018	SRTI11	1.001,224720	1,362002	-	1.002,586722	Padrão - SND	Reg.	
29/10/2018	SRTI11	1.000,979650	1,089187	-	1.002,068837	Padrão - SND	Reg.	
26/10/2018	SRTI11	1.000,734650	0,816579	-	1.001,551229	Padrão - SND	Reg.	
25/10/2018	SRTI11	1.000,489700	0,544179	-	1.001,033879	Padrão - SND	Reg.	
24/10/2018	SRTI11	1.000,244820	0,271986	-	1.000,516806	Padrão - SND	Reg.	
23/10/2018	SRTI11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
22/10/2018	SRTI11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
