PU Histórico - Gerado em 07/10/2018 16:26:25

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	SRTV11	98.557,300000	5.219,859037	-	103.777,159037	Padrão - SND	Reg.	
04/10/2018	SRTV11	98.557,300000	5.182,145791	-	103.739,445791	Padrão - SND	Reg.	
03/10/2018	SRTV11	98.557,300000	5.144,446934	-	103.701,746934	Padrão - SND	Reg.	
02/10/2018	SRTV11	98.557,300000	5.106,761579	-	103.664,061579	Padrão - SND	Reg.	
01/10/2018	SRTV11	98.557,300000	5.069,089628	-	103.626,389628	Padrão - SND	Reg.	
28/09/2018	SRTV11	98.557,300000	5.031,470208	-	103.588,770208	Padrão - SND	Reg.	
27/09/2018	SRTV11	98.557,300000	4.993,864192	-	103.551,164192	Padrão - SND	Reg.	
26/09/2018	SRTV11	98.557,300000	4.956,272466	-	103.513,572466	Padrão - SND	Reg.	
25/09/2018	SRTV11	98.557,300000	4.918,693258	-	103.475,993258	Padrão - SND	Reg.	
24/09/2018	SRTV11	98.557,300000	4.881,128438	-	103.438,428438	Padrão - SND	Reg.	
21/09/2018	SRTV11	98.557,300000	4.843,576924	-	103.400,876924	Padrão - SND	Reg.	
20/09/2018	SRTV11	98.557,300000	4.806,039898	-	103.363,339898	Padrão - SND	Reg.	
19/09/2018	SRTV11	98.557,300000	4.768,515192	-	103.325,815192	Padrão - SND	Reg.	
18/09/2018	SRTV11	98.557,300000	4.731,004875	-	103.288,304875	Padrão - SND	Reg.	
17/09/2018	SRTV11	98.557,300000	4.693,507962	-	103.250,807962	Padrão - SND	Reg.	
14/09/2018	SRTV11	98.557,300000	4.656,025438	-	103.213,325438	Padrão - SND	Reg.	
13/09/2018	SRTV11	98.557,300000	4.618,555332	-	103.175,855332	Padrão - SND	Reg.	
12/09/2018	SRTV11	98.557,300000	4.581,099517	-	103.138,399517	Padrão - SND	Reg.	
11/09/2018	SRTV11	98.557,300000	4.543,657106	-	103.100,957106	Padrão - SND	Reg.	
10/09/2018	SRTV11	98.557,300000	4.506,228099	-	103.063,528099	Padrão - SND	Reg.	
06/09/2018	SRTV11	98.557,300000	4.468,813383	-	103.026,113383	Padrão - SND	Reg.	
05/09/2018	SRTV11	98.557,300000	4.431,411084	-	102.988,711084	Padrão - SND	Reg.	
04/09/2018	SRTV11	98.557,300000	4.394,022978	-	102.951,322978	Padrão - SND	Reg.	
03/09/2018	SRTV11	98.557,300000	4.356,649459	-	102.913,949459	Padrão - SND	Reg.	
31/08/2018	SRTV11	98.557,300000	4.319,288062	-	102.876,588062	Padrão - SND	Reg.	
30/08/2018	SRTV11	98.557,300000	4.281,940069	-	102.839,240069	Padrão - SND	Reg.	
29/08/2018	SRTV11	98.557,300000	4.244,606563	-	102.801,906563	Padrão - SND	Reg.	
28/08/2018	SRTV11	98.557,300000	4.207,286265	-	102.764,586265	Padrão - SND	Reg.	
27/08/2018	SRTV11	98.557,300000	4.169,980356	-	102.727,280356	Padrão - SND	Reg.	
24/08/2018	SRTV11	98.557,300000	4.132,686668	-	102.689,986668	Padrão - SND	Reg.	
23/08/2018	SRTV11	98.557,300000	4.095,407467	-	102.652,707467	Padrão - SND	Reg.	
22/08/2018	SRTV11	98.557,300000	4.058,141474	-	102.615,441474	Padrão - SND	Reg.	
21/08/2018	SRTV11	98.557,300000	4.020,888786	-	102.578,188786	Padrão - SND	Reg.	
20/08/2018	SRTV11	98.557,300000	3.983,649501	-	102.540,949501	Padrão - SND	Reg.	
17/08/2018	SRTV11	98.557,300000	3.946,423522	-	102.503,723522	Padrão - SND	Reg.	
16/08/2018	SRTV11	98.557,300000	3.909,211834	-	102.466,511834	Padrão - SND	Reg.	
15/08/2018	SRTV11	98.557,300000	3.872,013352	-	102.429,313352	Padrão - SND	Reg.	
14/08/2018	SRTV11	98.557,300000	3.834,828372	-	102.392,128372	Padrão - SND	Reg.	
13/08/2018	SRTV11	98.557,300000	3.797,656600	-	102.354,956600	Padrão - SND	Reg.	
10/08/2018	SRTV11	98.557,300000	3.760,499019	-	102.317,799019	Padrão - SND	Reg.	
09/08/2018	SRTV11	98.557,300000	3.723,354843	-	102.280,654843	Padrão - SND	Reg.	
08/08/2018	SRTV11	98.557,300000	3.686,222986	-	102.243,522986	Padrão - SND	Reg.	
07/08/2018	SRTV11	98.557,300000	3.649,106306	-	102.206,406306	Padrão - SND	Reg.	
06/08/2018	SRTV11	98.557,300000	3.612,001947	-	102.169,301947	Padrão - SND	Reg.	
03/08/2018	SRTV11	98.557,300000	3.574,910893	-	102.132,210893	Padrão - SND	Reg.	
02/08/2018	SRTV11	98.557,300000	3.537,834031	-	102.095,134031	Padrão - SND	Reg.	
01/08/2018	SRTV11	98.557,300000	3.500,770572	-	102.058,070572	Padrão - SND	Reg.	
31/07/2018	SRTV11	98.557,300000	3.463,720321	-	102.021,020321	Padrão - SND	Reg.	
30/07/2018	SRTV11	98.557,300000	3.426,683374	-	101.983,983374	Padrão - SND	Reg.	
27/07/2018	SRTV11	98.557,300000	3.389,659635	-	101.946,959635	Padrão - SND	Reg.	
26/07/2018	SRTV11	98.557,300000	3.352,650186	-	101.909,950186	Padrão - SND	Reg.	
25/07/2018	SRTV11	98.557,300000	3.315,653944	-	101.872,953944	Padrão - SND	Reg.	
24/07/2018	SRTV11	98.557,300000	3.278,671007	-	101.835,971007	Padrão - SND	Reg.	
23/07/2018	SRTV11	98.557,300000	3.241,701277	-	101.799,001277	Padrão - SND	Reg.	
20/07/2018	SRTV11	98.557,300000	3.204,744753	-	101.762,044753	Padrão - SND	Reg.	
19/07/2018	SRTV11	98.557,300000	3.167,802520	-	101.725,102520	Padrão - SND	Reg.	
18/07/2018	SRTV11	98.557,300000	3.130,872607	-	101.688,172607	Padrão - SND	Reg.	
