PU Histórico - Gerado em 07/10/2018 16:26:35

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	STBA12	10.000,000000	29.797,094700	-	39.797,094700	Padrão - SND	Reg.	
04/10/2018	STBA12	10.000,000000	29.787,299100	-	39.787,299100	Padrão - SND	Reg.	
03/10/2018	STBA12	10.000,000000	29.777,505800	-	39.777,505800	Padrão - SND	Reg.	
02/10/2018	STBA12	10.000,000000	29.767,715000	-	39.767,715000	Padrão - SND	Reg.	
01/10/2018	STBA12	10.000,000000	29.757,926600	-	39.757,926600	Padrão - SND	Reg.	
28/09/2018	STBA12	10.000,000000	29.748,155300	-	39.748,155300	Padrão - SND	Reg.	
27/09/2018	STBA12	10.000,000000	29.738,386400	-	39.738,386400	Padrão - SND	Reg.	
26/09/2018	STBA12	10.000,000000	29.728,620000	-	39.728,620000	Padrão - SND	Reg.	
25/09/2018	STBA12	10.000,000000	29.718,855900	-	39.718,855900	Padrão - SND	Reg.	
24/09/2018	STBA12	10.000,000000	29.709,094200	-	39.709,094200	Padrão - SND	Reg.	
21/09/2018	STBA12	10.000,000000	29.699,334900	-	39.699,334900	Padrão - SND	Reg.	
20/09/2018	STBA12	10.000,000000	29.689,578000	-	39.689,578000	Padrão - SND	Reg.	
19/09/2018	STBA12	10.000,000000	29.679,823500	-	39.679,823500	Padrão - SND	Reg.	
18/09/2018	STBA12	10.000,000000	29.670,071400	-	39.670,071400	Padrão - SND	Reg.	
17/09/2018	STBA12	10.000,000000	29.660,321700	-	39.660,321700	Padrão - SND	Reg.	
14/09/2018	STBA12	10.000,000000	29.650,574400	-	39.650,574400	Padrão - SND	Reg.	
13/09/2018	STBA12	10.000,000000	29.640,829500	-	39.640,829500	Padrão - SND	Reg.	
12/09/2018	STBA12	10.000,000000	29.631,087000	-	39.631,087000	Padrão - SND	Reg.	
11/09/2018	STBA12	10.000,000000	29.621,346900	-	39.621,346900	Padrão - SND	Reg.	
10/09/2018	STBA12	10.000,000000	29.611,609200	-	39.611,609200	Padrão - SND	Reg.	
06/09/2018	STBA12	10.000,000000	29.601,873800	-	39.601,873800	Padrão - SND	Reg.	
05/09/2018	STBA12	10.000,000000	29.592,140900	-	39.592,140900	Padrão - SND	Reg.	
04/09/2018	STBA12	10.000,000000	29.582,410400	-	39.582,410400	Padrão - SND	Reg.	
03/09/2018	STBA12	10.000,000000	29.572,682200	-	39.572,682200	Padrão - SND	Reg.	
31/08/2018	STBA12	10.000,000000	29.562,956400	-	39.562,956400	Padrão - SND	Reg.	
30/08/2018	STBA12	10.000,000000	29.553,233100	-	39.553,233100	Padrão - SND	Reg.	
29/08/2018	STBA12	10.000,000000	29.543,512100	-	39.543,512100	Padrão - SND	Reg.	
28/08/2018	STBA12	10.000,000000	29.533,793500	-	39.533,793500	Padrão - SND	Reg.	
27/08/2018	STBA12	10.000,000000	29.524,077300	-	39.524,077300	Padrão - SND	Reg.	
24/08/2018	STBA12	10.000,000000	29.514,363500	-	39.514,363500	Padrão - SND	Reg.	
