PU Histórico - Gerado em 17/02/2019 12:20:18

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	STKF13	1.000,000000	11,125346	-	1.011,125346	Padrão - SND	Reg.	
14/02/2019	STKF13	1.000,000000	10,838545	-	1.010,838545	Padrão - SND	Reg.	
13/02/2019	STKF13	1.000,000000	10,551822	-	1.010,551822	Padrão - SND	Reg.	
12/02/2019	STKF13	1.000,000000	10,265172	-	1.010,265172	Padrão - SND	Reg.	
11/02/2019	STKF13	1.000,000000	9,978610	-	1.009,978610	Padrão - SND	Reg.	
08/02/2019	STKF13	1.000,000000	9,692129	-	1.009,692129	Padrão - SND	Reg.	
07/02/2019	STKF13	1.000,000000	9,405738	-	1.009,405738	Padrão - SND	Reg.	
06/02/2019	STKF13	1.000,000000	9,119417	-	1.009,119417	Padrão - SND	Reg.	
05/02/2019	STKF13	1.000,000000	8,833176	-	1.008,833176	Padrão - SND	Reg.	
04/02/2019	STKF13	1.000,000000	8,547026	-	1.008,547026	Padrão - SND	Reg.	
01/02/2019	STKF13	1.000,000000	8,260946	-	1.008,260946	Padrão - SND	Reg.	
31/01/2019	STKF13	1.000,000000	7,974955	-	1.007,974955	Padrão - SND	Reg.	
30/01/2019	STKF13	1.000,000000	7,689045	-	1.007,689045	Padrão - SND	Reg.	
29/01/2019	STKF13	1.000,000000	7,403215	-	1.007,403215	Padrão - SND	Reg.	
28/01/2019	STKF13	1.000,000000	7,117465	-	1.007,117465	Padrão - SND	Reg.	
25/01/2019	STKF13	1.000,000000	6,831795	-	1.006,831795	Padrão - SND	Reg.	
24/01/2019	STKF13	1.000,000000	6,546205	-	1.006,546205	Padrão - SND	Reg.	
23/01/2019	STKF13	1.000,000000	6,260695	-	1.006,260695	Padrão - SND	Reg.	
22/01/2019	STKF13	1.000,000000	5,975275	-	1.005,975275	Padrão - SND	Reg.	
21/01/2019	STKF13	1.000,000000	5,689926	-	1.005,689926	Padrão - SND	Reg.	
18/01/2019	STKF13	1.000,000000	5,404666	-	1.005,404666	Padrão - SND	Reg.	
17/01/2019	STKF13	1.000,000000	5,119487	-	1.005,119487	Padrão - SND	Reg.	
16/01/2019	STKF13	1.000,000000	4,834377	-	1.004,834377	Padrão - SND	Reg.	
15/01/2019	STKF13	1.000,000000	4,549358	-	1.004,549358	Padrão - SND	Reg.	
14/01/2019	STKF13	1.000,000000	4,264418	-	1.004,264418	Padrão - SND	Reg.	
11/01/2019	STKF13	1.000,000000	3,979559	-	1.003,979559	Padrão - SND	Reg.	
10/01/2019	STKF13	1.000,000000	3,694779	-	1.003,694779	Padrão - SND	Reg.	
09/01/2019	STKF13	1.000,000000	3,410079	-	1.003,410079	Padrão - SND	Reg.	
08/01/2019	STKF13	1.000,000000	3,125469	-	1.003,125469	Padrão - SND	Reg.	
07/01/2019	STKF13	1.000,000000	2,840930	-	1.002,840930	Padrão - SND	Reg.	
04/01/2019	STKF13	1.000,000000	2,556470	-	1.002,556470	Padrão - SND	Reg.	
03/01/2019	STKF13	1.000,000000	2,272101	-	1.002,272101	Padrão - SND	Reg.	
02/01/2019	STKF13	1.000,000000	1,987801	-	1.001,987801	Padrão - SND	Reg.	
31/12/2018	STKF13	1.000,000000	1,703591	-	1.001,703591	Padrão - SND	Reg.	
28/12/2018	STKF13	1.000,000000	1,419461	-	1.001,419461	Padrão - SND	Reg.	
27/12/2018	STKF13	1.000,000000	1,135401	-	1.001,135401	Padrão - SND	Reg.	
26/12/2018	STKF13	1.000,000000	0,851431	-	1.000,851431	Padrão - SND	Reg.	
24/12/2018	STKF13	1.000,000000	0,567541	-	1.000,567541	Padrão - SND	Reg.	
21/12/2018	STKF13	1.000,000000	0,283730	-	1.000,283730	Padrão - SND	Reg.	
20/12/2018	STKF13	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
