PU Histórico - Gerado em 07/10/2018 16:27:13

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TAEE33	1.435,834610	70,846464	-	1.506,681074	Padrão - SND	Reg.	
04/10/2018	TAEE33	1.435,532960	70,534270	-	1.506,067230	Padrão - SND	Reg.	
03/10/2018	TAEE33	1.435,231380	70,222261	-	1.505,453641	Padrão - SND	Reg.	
02/10/2018	TAEE33	1.434,929870	69,910441	-	1.504,840311	Padrão - SND	Reg.	
01/10/2018	TAEE33	1.434,628410	69,598806	-	1.504,227216	Padrão - SND	Reg.	
28/09/2018	TAEE33	1.434,327010	69,287357	-	1.503,614367	Padrão - SND	Reg.	
27/09/2018	TAEE33	1.434,025690	68,976096	-	1.503,001786	Padrão - SND	Reg.	
26/09/2018	TAEE33	1.433,724420	68,665020	-	1.502,389440	Padrão - SND	Reg.	
25/09/2018	TAEE33	1.433,423220	68,354130	-	1.501,777350	Padrão - SND	Reg.	
24/09/2018	TAEE33	1.433,122080	68,043428	-	1.501,165508	Padrão - SND	Reg.	
21/09/2018	TAEE33	1.432,580570	67,721544	-	1.500,302114	Padrão - SND	Reg.	
20/09/2018	TAEE33	1.432,339700	67,414093	-	1.499,753793	Padrão - SND	Reg.	
19/09/2018	TAEE33	1.432,098870	67,106802	-	1.499,205672	Padrão - SND	Reg.	
18/09/2018	TAEE33	1.431,858070	66,799671	-	1.498,657741	Padrão - SND	Reg.	
17/09/2018	TAEE33	1.431,617330	66,492699	-	1.498,110029	Padrão - SND	Reg.	
14/09/2018	TAEE33	1.431,675870	66,199724	-	1.497,875594	Padrão - SND	Reg.	
13/09/2018	TAEE33	1.431,734400	65,906783	-	1.497,641183	Padrão - SND	Reg.	
12/09/2018	TAEE33	1.431,792940	65,613877	-	1.497,406817	Padrão - SND	Reg.	
11/09/2018	TAEE33	1.431,851470	65,321005	-	1.497,172475	Padrão - SND	Reg.	
10/09/2018	TAEE33	1.431,910000	65,028166	-	1.496,938166	Padrão - SND	Reg.	
06/09/2018	TAEE33	1.432,905540	64,777721	-	1.497,683261	Padrão - SND	Reg.	
05/09/2018	TAEE33	1.432,905540	64,482123	-	1.497,387663	Padrão - SND	Reg.	
