PU Histórico - Gerado em 07/10/2018 16:27:14

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TAES14	1.039,909790	2,496190	-	1.042,405980	Padrão - SND	Reg.	
04/10/2018	TAES14	1.039,959010	2,317802	-	1.042,276812	Padrão - SND	Reg.	
03/10/2018	TAES14	1.040,008240	2,139428	-	1.042,147668	Padrão - SND	Reg.	
02/10/2018	TAES14	1.040,057480	1,961067	-	1.042,018547	Padrão - SND	Reg.	
01/10/2018	TAES14	1.040,106710	1,782720	-	1.041,889430	Padrão - SND	Reg.	
28/09/2018	TAES14	1.040,155950	1,604386	-	1.041,760336	Padrão - SND	Reg.	
27/09/2018	TAES14	1.040,205180	1,426066	-	1.041,631246	Padrão - SND	Reg.	
26/09/2018	TAES14	1.040,254430	1,247760	-	1.041,502190	Padrão - SND	Reg.	
25/09/2018	TAES14	1.040,303680	1,069469	-	1.041,373149	Padrão - SND	Reg.	
24/09/2018	TAES14	1.040,352920	0,891189	-	1.041,244109	Padrão - SND	Reg.	
21/09/2018	TAES14	1.040,402170	0,712924	-	1.041,115094	Padrão - SND	Reg.	
20/09/2018	TAES14	1.040,451420	0,534672	-	1.040,986092	Padrão - SND	Reg.	
19/09/2018	TAES14	1.040,500670	0,356435	-	1.040,857105	Padrão - SND	Reg.	
18/09/2018	TAES14	1.040,549930	0,178211	-	1.040,728141	Padrão - SND	Reg.	
17/09/2018	TAES14	1.040,599200	-  	-	1.040,599200	Padrão - SND	Reg.	
14/09/2018	TAES14	1.040,641740	42,362713	-	1.083,004453	Padrão - SND	Reg.	
13/09/2018	TAES14	1.040,684290	42,178988	-	1.082,863278	Padrão - SND	Reg.	
12/09/2018	TAES14	1.040,726840	41,995280	-	1.082,722120	Padrão - SND	Reg.	
11/09/2018	TAES14	1.040,769380	41,811587	-	1.082,580967	Padrão - SND	Reg.	
10/09/2018	TAES14	1.040,811930	41,627912	-	1.082,439842	Padrão - SND	Reg.	
06/09/2018	TAES14	1.044,034610	41,570878	-	1.085,605488	Padrão - SND	Reg.	
05/09/2018	TAES14	1.043,878240	41,378784	-	1.085,257024	Padrão - SND	Reg.	
04/09/2018	TAES14	1.043,721900	41,186780	-	1.084,908680	Padrão - SND	Reg.	
03/09/2018	TAES14	1.043,565570	40,994862	-	1.084,560432	Padrão - SND	Reg.	
31/08/2018	TAES14	1.043,409280	40,803034	-	1.084,212314	Padrão - SND	Reg.	
30/08/2018	TAES14	1.043,253010	40,611294	-	1.083,864304	Padrão - SND	Reg.	
29/08/2018	TAES14	1.043,096760	40,419643	-	1.083,516403	Padrão - SND	Reg.	
28/08/2018	TAES14	1.042,940540	40,228079	-	1.083,168619	Padrão - SND	Reg.	
27/08/2018	TAES14	1.042,784330	40,036604	-	1.082,820934	Padrão - SND	Reg.	
