PU Histórico - Gerado em 17/02/2019 12:20:23

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
14/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
13/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
12/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
11/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
08/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
07/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
06/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
05/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
04/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
01/02/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
31/01/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
30/01/2019	TBUS22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
