PU Histórico - Gerado em 07/10/2018 16:27:38

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TEND14	1.000,000000	4,100227	-	1.004,100227	Padrão - SND	Reg.	
04/10/2018	TEND14	1.000,000000	3,783969	-	1.003,783969	Padrão - SND	Reg.	
03/10/2018	TEND14	1.000,000000	3,467821	-	1.003,467821	Padrão - SND	Reg.	
02/10/2018	TEND14	1.000,000000	3,151760	-	1.003,151760	Padrão - SND	Reg.	
01/10/2018	TEND14	1.000,000000	2,835809	-	1.002,835809	Padrão - SND	Reg.	
28/09/2018	TEND14	1.000,000000	2,520316	-	1.002,520316	Padrão - SND	Reg.	
27/09/2018	TEND14	1.000,000000	2,204933	-	1.002,204933	Padrão - SND	Reg.	
26/09/2018	TEND14	1.000,000000	1,889648	-	1.001,889648	Padrão - SND	Reg.	
25/09/2018	TEND14	1.000,000000	1,574451	-	1.001,574451	Padrão - SND	Reg.	
24/09/2018	TEND14	1.000,000000	1,259364	-	1.001,259364	Padrão - SND	Reg.	
21/09/2018	TEND14	1.000,000000	0,944375	-	1.000,944375	Padrão - SND	Reg.	
20/09/2018	TEND14	1.000,000000	0,629485	-	1.000,629485	Padrão - SND	Reg.	
19/09/2018	TEND14	1.000,000000	0,314693	-	1.000,314693	Padrão - SND	Reg.	
18/09/2018	TEND14	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
17/09/2018	TEND14	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
