PU Histórico - Gerado em 07/10/2018 16:27:46

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TFBR11	9.908,000000	67,862498	-	9.975,862498	Padrão - SND	Reg.	
04/10/2018	TFBR11	9.908,000000	63,854930	-	9.971,854930	Padrão - SND	Reg.	
03/10/2018	TFBR11	9.908,000000	59,848957	-	9.967,848957	Padrão - SND	Reg.	
02/10/2018	TFBR11	9.908,000000	55,844698	-	9.963,844698	Padrão - SND	Reg.	
01/10/2018	TFBR11	9.908,000000	51,841936	-	9.959,841936	Padrão - SND	Reg.	
28/09/2018	TFBR11	9.908,000000	47,844444	-	9.955,844444	Padrão - SND	Reg.	
27/09/2018	TFBR11	9.908,000000	43,848647	-	9.951,848647	Padrão - SND	Reg.	
26/09/2018	TFBR11	9.908,000000	39,854355	-	9.947,854355	Padrão - SND	Reg.	
25/09/2018	TFBR11	9.908,000000	35,861758	-	9.943,861758	Padrão - SND	Reg.	
24/09/2018	TFBR11	9.908,000000	31,870657	-	9.939,870657	Padrão - SND	Reg.	
21/09/2018	TFBR11	9.908,000000	27,881261	-	9.935,881261	Padrão - SND	Reg.	
20/09/2018	TFBR11	9.908,000000	23,893459	-	9.931,893459	Padrão - SND	Reg.	
19/09/2018	TFBR11	9.908,000000	19,907144	-	9.927,907144	Padrão - SND	Reg.	
18/09/2018	TFBR11	9.908,000000	15,922533	-	9.923,922533	Padrão - SND	Reg.	
17/09/2018	TFBR11	9.908,000000	11,939507	-	9.919,939507	Padrão - SND	Reg.	
14/09/2018	TFBR11	9.908,000000	7,958076	-	9.915,958076	Padrão - SND	Reg.	
13/09/2018	TFBR11	9.908,000000	3,978240	-	9.911,978240	Padrão - SND	Reg.	
12/09/2018	TFBR11	9.908,000000	-  	-	9.908,000000	Padrão - SND	Reg.	
11/09/2018	TFBR11	9.954,000000	80,239881	-	10.034,239881	Padrão - SND	Reg.	
10/09/2018	TFBR11	9.954,000000	76,212572	-	10.030,212572	Padrão - SND	Reg.	
06/09/2018	TFBR11	9.954,000000	72,186886	-	10.026,186886	Padrão - SND	Reg.	
05/09/2018	TFBR11	9.954,000000	68,162792	-	10.022,162792	Padrão - SND	Reg.	
04/09/2018	TFBR11	9.954,000000	64,140311	-	10.018,140311	Padrão - SND	Reg.	
03/09/2018	TFBR11	9.954,000000	60,119443	-	10.014,119443	Padrão - SND	Reg.	
31/08/2018	TFBR11	9.954,000000	56,100177	-	10.010,100177	Padrão - SND	Reg.	
30/08/2018	TFBR11	9.954,000000	52,082623	-	10.006,082623	Padrão - SND	Reg.	
29/08/2018	TFBR11	9.954,000000	48,066572	-	10.002,066572	Padrão - SND	Reg.	
28/08/2018	TFBR11	9.954,000000	44,052233	-	9.998,052233	Padrão - SND	Reg.	
27/08/2018	TFBR11	9.954,000000	40,039388	-	9.994,039388	Padrão - SND	Reg.	
24/08/2018	TFBR11	9.954,000000	36,028254	-	9.990,028254	Padrão - SND	Reg.	
23/08/2018	TFBR11	9.954,000000	32,018634	-	9.986,018634	Padrão - SND	Reg.	
22/08/2018	TFBR11	9.954,000000	28,010705	-	9.982,010705	Padrão - SND	Reg.	
21/08/2018	TFBR11	9.954,000000	24,004390	-	9.978,004390	Padrão - SND	Reg.	
20/08/2018	TFBR11	9.954,000000	19,999567	-	9.973,999567	Padrão - SND	Reg.	
17/08/2018	TFBR11	9.954,000000	15,996456	-	9.969,996456	Padrão - SND	Reg.	
16/08/2018	TFBR11	9.954,000000	11,994938	-	9.965,994938	Padrão - SND	Reg.	
15/08/2018	TFBR11	9.954,000000	7,995023	-	9.961,995023	Padrão - SND	Reg.	
14/08/2018	TFBR11	9.954,000000	3,996710	-	9.957,996710	Padrão - SND	Reg.	
13/08/2018	TFBR11	9.954,000000	-  	-	9.954,000000	Padrão - SND	Reg.	
10/08/2018	TFBR11	10.000,000000	20,091990	-	10.020,091990	Padrão - SND	Reg.	
09/08/2018	TFBR11	10.000,000000	16,070380	-	10.016,070380	Padrão - SND	Reg.	
08/08/2018	TFBR11	10.000,000000	12,050370	-	10.012,050370	Padrão - SND	Reg.	
07/08/2018	TFBR11	10.000,000000	8,031970	-	10.008,031970	Padrão - SND	Reg.	
06/08/2018	TFBR11	10.000,000000	4,015180	-	10.004,015180	Padrão - SND	Reg.	
03/08/2018	TFBR11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
