PU Histórico - Gerado em 17/02/2019 12:20:27

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	TFLE16	1.000,000000	10,380690	-	1.010,380690	Padrão - SND	Reg.	
14/02/2019	TFLE16	1.000,000000	10,106140	-	1.010,106140	Padrão - SND	Reg.	
13/02/2019	TFLE16	1.000,000000	9,831660	-	1.009,831660	Padrão - SND	Reg.	
12/02/2019	TFLE16	1.000,000000	9,557260	-	1.009,557260	Padrão - SND	Reg.	
11/02/2019	TFLE16	1.000,000000	9,282930	-	1.009,282930	Padrão - SND	Reg.	
08/02/2019	TFLE16	1.000,000000	9,008680	-	1.009,008680	Padrão - SND	Reg.	
07/02/2019	TFLE16	1.000,000000	8,734500	-	1.008,734500	Padrão - SND	Reg.	
06/02/2019	TFLE16	1.000,000000	8,460390	-	1.008,460390	Padrão - SND	Reg.	
05/02/2019	TFLE16	1.000,000000	8,186360	-	1.008,186360	Padrão - SND	Reg.	
04/02/2019	TFLE16	1.000,000000	7,912410	-	1.007,912410	Padrão - SND	Reg.	
01/02/2019	TFLE16	1.000,000000	7,638530	-	1.007,638530	Padrão - SND	Reg.	
31/01/2019	TFLE16	1.000,000000	7,364720	-	1.007,364720	Padrão - SND	Reg.	
30/01/2019	TFLE16	1.000,000000	7,090990	-	1.007,090990	Padrão - SND	Reg.	
29/01/2019	TFLE16	1.000,000000	6,817330	-	1.006,817330	Padrão - SND	Reg.	
28/01/2019	TFLE16	1.000,000000	6,543750	-	1.006,543750	Padrão - SND	Reg.	
25/01/2019	TFLE16	1.000,000000	6,270240	-	1.006,270240	Padrão - SND	Reg.	
24/01/2019	TFLE16	1.000,000000	5,996800	-	1.005,996800	Padrão - SND	Reg.	
23/01/2019	TFLE16	1.000,000000	5,723440	-	1.005,723440	Padrão - SND	Reg.	
22/01/2019	TFLE16	1.000,000000	5,450160	-	1.005,450160	Padrão - SND	Reg.	
21/01/2019	TFLE16	1.000,000000	5,176940	-	1.005,176940	Padrão - SND	Reg.	
18/01/2019	TFLE16	1.000,000000	4,903810	-	1.004,903810	Padrão - SND	Reg.	
17/01/2019	TFLE16	1.000,000000	4,630740	-	1.004,630740	Padrão - SND	Reg.	
16/01/2019	TFLE16	1.000,000000	4,357750	-	1.004,357750	Padrão - SND	Reg.	
15/01/2019	TFLE16	1.000,000000	4,084840	-	1.004,084840	Padrão - SND	Reg.	
14/01/2019	TFLE16	1.000,000000	3,812000	-	1.003,812000	Padrão - SND	Reg.	
11/01/2019	TFLE16	1.000,000000	3,539230	-	1.003,539230	Padrão - SND	Reg.	
10/01/2019	TFLE16	1.000,000000	3,266540	-	1.003,266540	Padrão - SND	Reg.	
09/01/2019	TFLE16	1.000,000000	2,993920	-	1.002,993920	Padrão - SND	Reg.	
08/01/2019	TFLE16	1.000,000000	2,721370	-	1.002,721370	Padrão - SND	Reg.	
07/01/2019	TFLE16	1.000,000000	2,448900	-	1.002,448900	Padrão - SND	Reg.	
04/01/2019	TFLE16	1.000,000000	2,176510	-	1.002,176510	Padrão - SND	Reg.	
03/01/2019	TFLE16	1.000,000000	1,904190	-	1.001,904190	Padrão - SND	Reg.	
02/01/2019	TFLE16	1.000,000000	1,631940	-	1.001,631940	Padrão - SND	Reg.	
31/12/2018	TFLE16	1.000,000000	1,359760	-	1.001,359760	Padrão - SND	Reg.	
28/12/2018	TFLE16	1.000,000000	1,087660	-	1.001,087660	Padrão - SND	Reg.	
27/12/2018	TFLE16	1.000,000000	0,815640	-	1.000,815640	Padrão - SND	Reg.	
26/12/2018	TFLE16	1.000,000000	0,543680	-	1.000,543680	Padrão - SND	Reg.	
24/12/2018	TFLE16	1.000,000000	0,271800	-	1.000,271800	Padrão - SND	Reg.	
21/12/2018	TFLE16	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
