PU Histórico - Gerado em 07/10/2018 16:28:03

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TIET26	1,047121	0,033528	-	1,080649	Padrão - SND	Reg.	
04/10/2018	TIET26	1,047170	0,033248	-	1,080419	Padrão - SND	Reg.	
03/10/2018	TIET26	1,047220	0,032969	-	1,080188	Padrão - SND	Reg.	
02/10/2018	TIET26	1,047269	0,032689	-	1,079958	Padrão - SND	Reg.	
01/10/2018	TIET26	1,047319	0,032409	-	1,079728	Padrão - SND	Reg.	
28/09/2018	TIET26	1,047369	0,032129	-	1,079498	Padrão - SND	Reg.	
27/09/2018	TIET26	1,047418	0,031850	-	1,079268	Padrão - SND	Reg.	
26/09/2018	TIET26	1,047468	0,031570	-	1,079038	Padrão - SND	Reg.	
25/09/2018	TIET26	1,047517	0,031291	-	1,078808	Padrão - SND	Reg.	
24/09/2018	TIET26	1,047567	0,031011	-	1,078578	Padrão - SND	Reg.	
21/09/2018	TIET26	1,047616	0,030732	-	1,078348	Padrão - SND	Reg.	
20/09/2018	TIET26	1,047666	0,030452	-	1,078118	Padrão - SND	Reg.	
19/09/2018	TIET26	1,047716	0,030173	-	1,077889	Padrão - SND	Reg.	
18/09/2018	TIET26	1,047765	0,029894	-	1,077659	Padrão - SND	Reg.	
17/09/2018	TIET26	1,047815	0,029614	-	1,077429	Padrão - SND	Reg.	
14/09/2018	TIET26	1,047858	0,029335	-	1,077193	Padrão - SND	Reg.	
13/09/2018	TIET26	1,047901	0,029056	-	1,076956	Padrão - SND	Reg.	
12/09/2018	TIET26	1,047943	0,028776	-	1,076720	Padrão - SND	Reg.	
11/09/2018	TIET26	1,047986	0,028497	-	1,076483	Padrão - SND	Reg.	
10/09/2018	TIET26	1,048029	0,028218	-	1,076247	Padrão - SND	Reg.	
06/09/2018	TIET26	1,051274	0,028024	-	1,079298	Padrão - SND	Reg.	
05/09/2018	TIET26	1,051117	0,027739	-	1,078855	Padrão - SND	Reg.	
04/09/2018	TIET26	1,050959	0,027454	-	1,078413	Padrão - SND	Reg.	
03/09/2018	TIET26	1,050802	0,027169	-	1,077970	Padrão - SND	Reg.	
31/08/2018	TIET26	1,050644	0,026884	-	1,077528	Padrão - SND	Reg.	
30/08/2018	TIET26	1,050487	0,026599	-	1,077086	Padrão - SND	Reg.	
29/08/2018	TIET26	1,050330	0,026315	-	1,076645	Padrão - SND	Reg.	
28/08/2018	TIET26	1,050172	0,026031	-	1,076203	Padrão - SND	Reg.	
27/08/2018	TIET26	1,050015	0,025746	-	1,075762	Padrão - SND	Reg.	
24/08/2018	TIET26	1,049858	0,025462	-	1,075320	Padrão - SND	Reg.	
23/08/2018	TIET26	1,049701	0,025179	-	1,074879	Padrão - SND	Reg.	
22/08/2018	TIET26	1,049543	0,024895	-	1,074438	Padrão - SND	Reg.	
21/08/2018	TIET26	1,049386	0,024611	-	1,073998	Padrão - SND	Reg.	
20/08/2018	TIET26	1,049229	0,024328	-	1,073557	Padrão - SND	Reg.	
17/08/2018	TIET26	1,049072	0,024045	-	1,073117	Padrão - SND	Reg.	
16/08/2018	TIET26	1,048915	0,023762	-	1,072677	Padrão - SND	Reg.	
15/08/2018	TIET26	1,048758	0,023479	-	1,072237	Padrão - SND	Reg.	
14/08/2018	TIET26	1,048601	0,023196	-	1,071797	Padrão - SND	Reg.	
13/08/2018	TIET26	1,048444	0,022914	-	1,071357	Padrão - SND	Reg.	
10/08/2018	TIET26	1,048287	0,022631	-	1,070918	Padrão - SND	Reg.	
09/08/2018	TIET26	1,048130	0,022349	-	1,070478	Padrão - SND	Reg.	
08/08/2018	TIET26	1,055471	0,022225	-	1,077695	Padrão - SND	Reg.	
