PU Histórico - Gerado em 07/10/2018 16:28:07

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TIVF12	166,670000	0,454091	-	167,124091	Padrão - SND	Reg.	
04/10/2018	TIVF12	166,670000	0,397230	-	167,067230	Padrão - SND	Reg.	
03/10/2018	TIVF12	166,670000	0,340391	-	167,010391	Padrão - SND	Reg.	
02/10/2018	TIVF12	166,670000	0,283568	-	166,953568	Padrão - SND	Reg.	
01/10/2018	TIVF12	166,670000	0,226767	-	166,896767	Padrão - SND	Reg.	
28/09/2018	TIVF12	166,670000	0,170046	-	166,840046	Padrão - SND	Reg.	
27/09/2018	TIVF12	166,670000	0,113345	-	166,783345	Padrão - SND	Reg.	
26/09/2018	TIVF12	166,670000	0,056663	-	166,726663	Padrão - SND	Reg.	
25/09/2018	TIVF12	166,670000	-  	-	166,670000	Padrão - SND	Reg.	
24/09/2018	TIVF12	333,336000	14,586596	-	347,922596	Padrão - SND	Reg.	
21/09/2018	TIVF12	333,336000	14,468353	-	347,804353	Padrão - SND	Reg.	
20/09/2018	TIVF12	333,336000	14,350149	-	347,686149	Padrão - SND	Reg.	
19/09/2018	TIVF12	333,336000	14,231985	-	347,567985	Padrão - SND	Reg.	
18/09/2018	TIVF12	333,336000	14,113863	-	347,449863	Padrão - SND	Reg.	
17/09/2018	TIVF12	333,336000	13,995781	-	347,331781	Padrão - SND	Reg.	
14/09/2018	TIVF12	333,336000	13,877738	-	347,213738	Padrão - SND	Reg.	
13/09/2018	TIVF12	333,336000	13,759734	-	347,095734	Padrão - SND	Reg.	
12/09/2018	TIVF12	333,336000	13,641773	-	346,977773	Padrão - SND	Reg.	
11/09/2018	TIVF12	333,336000	13,523852	-	346,859852	Padrão - SND	Reg.	
10/09/2018	TIVF12	333,336000	13,405970	-	346,741970	Padrão - SND	Reg.	
06/09/2018	TIVF12	333,336000	13,288127	-	346,624127	Padrão - SND	Reg.	
