PU Histórico - Gerado em 07/10/2018 16:28:09

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TLGE11	444.480,000000	643,252345	-	445.123,252345	Padrão - SND	Reg.	
04/10/2018	TLGE11	444.480,000000	482,352363	-	444.962,352363	Padrão - SND	Reg.	
03/10/2018	TLGE11	444.480,000000	321,510608	-	444.801,510608	Padrão - SND	Reg.	
02/10/2018	TLGE11	444.480,000000	160,726190	-	444.640,726190	Padrão - SND	Reg.	
01/10/2018	TLGE11	444.480,000000	-  	-	444.480,000000	Padrão - SND	Reg.	
28/09/2018	TLGE11	500.040,000000	23.281,236350	-	523.321,236350	Padrão - SND	Reg.	
27/09/2018	TLGE11	500.040,000000	23.092,262733	-	523.132,262733	Padrão - SND	Reg.	
26/09/2018	TLGE11	500.040,000000	22.903,356622	-	522.943,356622	Padrão - SND	Reg.	
25/09/2018	TLGE11	500.040,000000	22.714,517516	-	522.754,517516	Padrão - SND	Reg.	
24/09/2018	TLGE11	500.040,000000	22.525,749416	-	522.565,749416	Padrão - SND	Reg.	
21/09/2018	TLGE11	500.040,000000	22.337,049821	-	522.377,049821	Padrão - SND	Reg.	
20/09/2018	TLGE11	500.040,000000	22.148,416232	-	522.188,416232	Padrão - SND	Reg.	
19/09/2018	TLGE11	500.040,000000	21.959,850147	-	521.999,850147	Padrão - SND	Reg.	
18/09/2018	TLGE11	500.040,000000	21.771,355569	-	521.811,355569	Padrão - SND	Reg.	
17/09/2018	TLGE11	500.040,000000	21.582,928496	-	521.622,928496	Padrão - SND	Reg.	
14/09/2018	TLGE11	500.040,000000	21.394,567929	-	521.434,567929	Padrão - SND	Reg.	
13/09/2018	TLGE11	500.040,000000	21.206,274866	-	521.246,274866	Padrão - SND	Reg.	
12/09/2018	TLGE11	500.040,000000	21.018,047809	-	521.058,047809	Padrão - SND	Reg.	
11/09/2018	TLGE11	500.040,000000	20.829,893758	-	520.869,893758	Padrão - SND	Reg.	
10/09/2018	TLGE11	500.040,000000	20.641,806212	-	520.681,806212	Padrão - SND	Reg.	
06/09/2018	TLGE11	500.040,000000	20.453,785172	-	520.493,785172	Padrão - SND	Reg.	
05/09/2018	TLGE11	500.040,000000	20.265,831137	-	520.305,831137	Padrão - SND	Reg.	
04/09/2018	TLGE11	500.040,000000	20.077,944107	-	520.117,944107	Padrão - SND	Reg.	
03/09/2018	TLGE11	500.040,000000	19.890,128583	-	519.930,128583	Padrão - SND	Reg.	
31/08/2018	TLGE11	500.040,000000	19.702,380064	-	519.742,380064	Padrão - SND	Reg.	
30/08/2018	TLGE11	500.040,000000	19.514,698551	-	519.554,698551	Padrão - SND	Reg.	
29/08/2018	TLGE11	500.040,000000	19.327,083543	-	519.367,083543	Padrão - SND	Reg.	
28/08/2018	TLGE11	500.040,000000	19.139,540041	-	519.179,540041	Padrão - SND	Reg.	
27/08/2018	TLGE11	500.040,000000	18.952,058043	-	518.992,058043	Padrão - SND	Reg.	
24/08/2018	TLGE11	500.040,000000	18.764,648552	-	518.804,648552	Padrão - SND	Reg.	
23/08/2018	TLGE11	500.040,000000	18.577,305566	-	518.617,305566	Padrão - SND	Reg.	
22/08/2018	TLGE11	500.040,000000	18.390,034585	-	518.430,034585	Padrão - SND	Reg.	
21/08/2018	TLGE11	500.040,000000	18.202,824609	-	518.242,824609	Padrão - SND	Reg.	
20/08/2018	TLGE11	500.040,000000	18.015,686640	-	518.055,686640	Padrão - SND	Reg.	
17/08/2018	TLGE11	500.040,000000	17.828,615175	-	517.868,615175	Padrão - SND	Reg.	
16/08/2018	TLGE11	500.040,000000	17.641,609716	-	517.681,609716	Padrão - SND	Reg.	
15/08/2018	TLGE11	500.040,000000	17.454,671762	-	517.494,671762	Padrão - SND	Reg.	
14/08/2018	TLGE11	500.040,000000	17.267,799813	-	517.307,799813	Padrão - SND	Reg.	
13/08/2018	TLGE11	500.040,000000	17.080,999871	-	517.120,999871	Padrão - SND	Reg.	
10/08/2018	TLGE11	500.040,000000	16.894,266433	-	516.934,266433	Padrão - SND	Reg.	
09/08/2018	TLGE11	500.040,000000	16.707,599501	-	516.747,599501	Padrão - SND	Reg.	
08/08/2018	TLGE11	500.040,000000	16.520,999074	-	516.560,999074	Padrão - SND	Reg.	
07/08/2018	TLGE11	500.040,000000	16.334,464653	-	516.374,464653	Padrão - SND	Reg.	
06/08/2018	TLGE11	500.040,000000	16.147,997236	-	516.187,997236	Padrão - SND	Reg.	
03/08/2018	TLGE11	500.040,000000	15.961,601326	-	516.001,601326	Padrão - SND	Reg.	
02/08/2018	TLGE11	500.040,000000	15.775,271921	-	515.815,271921	Padrão - SND	Reg.	
01/08/2018	TLGE11	500.040,000000	15.589,008521	-	515.629,008521	Padrão - SND	Reg.	
31/07/2018	TLGE11	500.040,000000	15.402,811626	-	515.442,811626	Padrão - SND	Reg.	
