PU Histórico - Gerado em 17/02/2019 12:20:36

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	TRCC11	1.006,694180	21,204438	-	1.027,898618	Padrão - SND	Reg.	
14/02/2019	TRCC11	1.006,554380	20,943415	-	1.027,497795	Padrão - SND	Reg.	
13/02/2019	TRCC11	1.006,414580	20,682528	-	1.027,097108	Padrão - SND	Reg.	
12/02/2019	TRCC11	1.006,274810	20,421778	-	1.026,696588	Padrão - SND	Reg.	
11/02/2019	TRCC11	1.006,135050	20,161165	-	1.026,296215	Padrão - SND	Reg.	
08/02/2019	TRCC11	1.006,544930	19,911560	-	1.026,456490	Padrão - SND	Reg.	
07/02/2019	TRCC11	1.006,374600	19,650483	-	1.026,025083	Padrão - SND	Reg.	
06/02/2019	TRCC11	1.006,204300	19,389557	-	1.025,593857	Padrão - SND	Reg.	
05/02/2019	TRCC11	1.006,034030	19,128783	-	1.025,162813	Padrão - SND	Reg.	
04/02/2019	TRCC11	1.005,863790	18,868162	-	1.024,731952	Padrão - SND	Reg.	
01/02/2019	TRCC11	1.005,693580	18,607694	-	1.024,301274	Padrão - SND	Reg.	
31/01/2019	TRCC11	1.005,523390	18,347376	-	1.023,870766	Padrão - SND	Reg.	
30/01/2019	TRCC11	1.005,353240	18,087213	-	1.023,440453	Padrão - SND	Reg.	
29/01/2019	TRCC11	1.005,183110	17,827200	-	1.023,010310	Padrão - SND	Reg.	
28/01/2019	TRCC11	1.005,013010	17,567339	-	1.022,580349	Padrão - SND	Reg.	
25/01/2019	TRCC11	1.004,842950	17,307631	-	1.022,150581	Padrão - SND	Reg.	
24/01/2019	TRCC11	1.004,672900	17,048074	-	1.021,720974	Padrão - SND	Reg.	
23/01/2019	TRCC11	1.004,528990	16,789106	-	1.021,318096	Padrão - SND	Reg.	
22/01/2019	TRCC11	1.004,354650	16,529774	-	1.020,884424	Padrão - SND	Reg.	
21/01/2019	TRCC11	1.004,180350	16,270597	-	1.020,450947	Padrão - SND	Reg.	
18/01/2019	TRCC11	1.004,006070	16,011573	-	1.020,017643	Padrão - SND	Reg.	
17/01/2019	TRCC11	1.003,831830	15,752702	-	1.019,584532	Padrão - SND	Reg.	
16/01/2019	TRCC11	1.003,657610	15,493986	-	1.019,151596	Padrão - SND	Reg.	
15/01/2019	TRCC11	1.003,483430	15,235423	-	1.018,718853	Padrão - SND	Reg.	
14/01/2019	TRCC11	1.003,404260	14,978432	-	1.018,382692	Padrão - SND	Reg.	
11/01/2019	TRCC11	1.002,876810	14,714968	-	1.017,591778	Padrão - SND	Reg.	
10/01/2019	TRCC11	1.002,824050	14,458681	-	1.017,282731	Padrão - SND	Reg.	
09/01/2019	TRCC11	1.002,771310	14,202485	-	1.016,973795	Padrão - SND	Reg.	
08/01/2019	TRCC11	1.002,718550	13,946380	-	1.016,664930	Padrão - SND	Reg.	
07/01/2019	TRCC11	1.002,665810	13,690366	-	1.016,356176	Padrão - SND	Reg.	
04/01/2019	TRCC11	1.002,613070	13,434443	-	1.016,047513	Padrão - SND	Reg.	
03/01/2019	TRCC11	1.002,560320	13,178611	-	1.015,738931	Padrão - SND	Reg.	
02/01/2019	TRCC11	1.002,507590	12,922870	-	1.015,430460	Padrão - SND	Reg.	
31/12/2018	TRCC11	1.002,454840	12,667220	-	1.015,122060	Padrão - SND	Reg.	
28/12/2018	TRCC11	1.002,402120	12,411661	-	1.014,813781	Padrão - SND	Reg.	
27/12/2018	TRCC11	1.002,349380	12,156192	-	1.014,505572	Padrão - SND	Reg.	
26/12/2018	TRCC11	1.002,296660	11,900814	-	1.014,197474	Padrão - SND	Reg.	
24/12/2018	TRCC11	1.002,243940	11,645527	-	1.013,889467	Padrão - SND	Reg.	
21/12/2018	TRCC11	1.002,191210	11,390332	-	1.013,581542	Padrão - SND	Reg.	
20/12/2018	TRCC11	1.002,138490	11,135227	-	1.013,273717	Padrão - SND	Reg.	
19/12/2018	TRCC11	1.002,085770	10,880211	-	1.012,965981	Padrão - SND	Reg.	
18/12/2018	TRCC11	1.002,033060	10,625288	-	1.012,658348	Padrão - SND	Reg.	
17/12/2018	TRCC11	1.002,982340	10,380825	-	1.013,363165	Padrão - SND	Reg.	
14/12/2018	TRCC11	1.002,080680	10,117257	-	1.012,197937	Padrão - SND	Reg.	
