PU Histórico - Gerado em 07/10/2018 16:28:25

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TREG13	10.000,000000	386,835910	-	10.386,835910	Padrão - SND	Reg.	
04/10/2018	TREG13	10.000,000000	383,463330	-	10.383,463330	Padrão - SND	Reg.	
03/10/2018	TREG13	10.000,000000	380,091820	-	10.380,091820	Padrão - SND	Reg.	
02/10/2018	TREG13	10.000,000000	376,721380	-	10.376,721380	Padrão - SND	Reg.	
01/10/2018	TREG13	10.000,000000	373,352110	-	10.373,352110	Padrão - SND	Reg.	
28/09/2018	TREG13	10.000,000000	369,987750	-	10.369,987750	Padrão - SND	Reg.	
27/09/2018	TREG13	10.000,000000	366,624460	-	10.366,624460	Padrão - SND	Reg.	
26/09/2018	TREG13	10.000,000000	363,262230	-	10.363,262230	Padrão - SND	Reg.	
25/09/2018	TREG13	10.000,000000	359,901080	-	10.359,901080	Padrão - SND	Reg.	
24/09/2018	TREG13	10.000,000000	356,541090	-	10.356,541090	Padrão - SND	Reg.	
21/09/2018	TREG13	10.000,000000	353,182170	-	10.353,182170	Padrão - SND	Reg.	
20/09/2018	TREG13	10.000,000000	349,824330	-	10.349,824330	Padrão - SND	Reg.	
19/09/2018	TREG13	10.000,000000	346,467560	-	10.346,467560	Padrão - SND	Reg.	
18/09/2018	TREG13	10.000,000000	343,111950	-	10.343,111950	Padrão - SND	Reg.	
17/09/2018	TREG13	10.000,000000	339,757310	-	10.339,757310	Padrão - SND	Reg.	
14/09/2018	TREG13	10.000,000000	336,403840	-	10.336,403840	Padrão - SND	Reg.	
13/09/2018	TREG13	10.000,000000	333,051430	-	10.333,051430	Padrão - SND	Reg.	
12/09/2018	TREG13	10.000,000000	329,700200	-	10.329,700200	Padrão - SND	Reg.	
11/09/2018	TREG13	10.000,000000	326,349940	-	10.326,349940	Padrão - SND	Reg.	
10/09/2018	TREG13	10.000,000000	323,000830	-	10.323,000830	Padrão - SND	Reg.	
06/09/2018	TREG13	10.000,000000	319,652800	-	10.319,652800	Padrão - SND	Reg.	
05/09/2018	TREG13	10.000,000000	316,305840	-	10.316,305840	Padrão - SND	Reg.	
04/09/2018	TREG13	10.000,000000	312,959940	-	10.312,959940	Padrão - SND	Reg.	
03/09/2018	TREG13	10.000,000000	309,615100	-	10.309,615100	Padrão - SND	Reg.	
31/08/2018	TREG13	10.000,000000	306,271440	-	10.306,271440	Padrão - SND	Reg.	
30/08/2018	TREG13	10.000,000000	302,928840	-	10.302,928840	Padrão - SND	Reg.	
29/08/2018	TREG13	10.000,000000	299,587310	-	10.299,587310	Padrão - SND	Reg.	
28/08/2018	TREG13	10.000,000000	296,246840	-	10.296,246840	Padrão - SND	Reg.	
27/08/2018	TREG13	10.000,000000	292,907440	-	10.292,907440	Padrão - SND	Reg.	
24/08/2018	TREG13	10.000,000000	289,569110	-	10.289,569110	Padrão - SND	Reg.	
23/08/2018	TREG13	10.000,000000	286,231940	-	10.286,231940	Padrão - SND	Reg.	
22/08/2018	TREG13	10.000,000000	282,895830	-	10.282,895830	Padrão - SND	Reg.	
21/08/2018	TREG13	10.000,000000	279,560790	-	10.279,560790	Padrão - SND	Reg.	
20/08/2018	TREG13	10.000,000000	276,226820	-	10.276,226820	Padrão - SND	Reg.	
17/08/2018	TREG13	10.000,000000	272,893910	-	10.272,893910	Padrão - SND	Reg.	
16/08/2018	TREG13	10.000,000000	269,562160	-	10.269,562160	Padrão - SND	Reg.	
15/08/2018	TREG13	10.000,000000	266,231380	-	10.266,231380	Padrão - SND	Reg.	
14/08/2018	TREG13	10.000,000000	262,901750	-	10.262,901750	Padrão - SND	Reg.	
13/08/2018	TREG13	10.000,000000	259,573200	-	10.259,573200	Padrão - SND	Reg.	
10/08/2018	TREG13	10.000,000000	256,245710	-	10.256,245710	Padrão - SND	Reg.	
09/08/2018	TREG13	10.000,000000	252,919380	-	10.252,919380	Padrão - SND	Reg.	
08/08/2018	TREG13	10.000,000000	249,594010	-	10.249,594010	Padrão - SND	Reg.	
07/08/2018	TREG13	10.000,000000	246,269820	-	10.246,269820	Padrão - SND	Reg.	
06/08/2018	TREG13	10.000,000000	242,946680	-	10.242,946680	Padrão - SND	Reg.	
03/08/2018	TREG13	10.000,000000	239,624500	-	10.239,624500	Padrão - SND	Reg.	
02/08/2018	TREG13	10.000,000000	236,303490	-	10.236,303490	Padrão - SND	Reg.	
01/08/2018	TREG13	10.000,000000	232,983630	-	10.232,983630	Padrão - SND	Reg.	
31/07/2018	TREG13	10.000,000000	229,664740	-	10.229,664740	Padrão - SND	Reg.	
30/07/2018	TREG13	10.000,000000	226,347020	-	10.226,347020	Padrão - SND	Reg.	
27/07/2018	TREG13	10.000,000000	223,030250	-	10.223,030250	Padrão - SND	Reg.	
26/07/2018	TREG13	10.000,000000	219,714640	-	10.219,714640	Padrão - SND	Reg.	
