PU Histórico - Gerado em 07/10/2018 16:28:39

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TSAE15	1.000.000,000000	23.864,789000	-	1.023.864,789000	Padrão - SND	Reg.	
04/10/2018	TSAE15	1.000.000,000000	23.524,388000	-	1.023.524,388000	Padrão - SND	Reg.	
03/10/2018	TSAE15	1.000.000,000000	23.184,099000	-	1.023.184,099000	Padrão - SND	Reg.	
02/10/2018	TSAE15	1.000.000,000000	22.843,921000	-	1.022.843,921000	Padrão - SND	Reg.	
01/10/2018	TSAE15	1.000.000,000000	22.503,854000	-	1.022.503,854000	Padrão - SND	Reg.	
28/09/2018	TSAE15	1.000.000,000000	22.164,282000	-	1.022.164,282000	Padrão - SND	Reg.	
27/09/2018	TSAE15	1.000.000,000000	21.824,821000	-	1.021.824,821000	Padrão - SND	Reg.	
26/09/2018	TSAE15	1.000.000,000000	21.485,471000	-	1.021.485,471000	Padrão - SND	Reg.	
25/09/2018	TSAE15	1.000.000,000000	21.146,242000	-	1.021.146,242000	Padrão - SND	Reg.	
24/09/2018	TSAE15	1.000.000,000000	20.807,114000	-	1.020.807,114000	Padrão - SND	Reg.	
21/09/2018	TSAE15	1.000.000,000000	20.468,108000	-	1.020.468,108000	Padrão - SND	Reg.	
20/09/2018	TSAE15	1.000.000,000000	20.129,214000	-	1.020.129,214000	Padrão - SND	Reg.	
19/09/2018	TSAE15	1.000.000,000000	19.790,420000	-	1.019.790,420000	Padrão - SND	Reg.	
18/09/2018	TSAE15	1.000.000,000000	19.451,747000	-	1.019.451,747000	Padrão - SND	Reg.	
17/09/2018	TSAE15	1.000.000,000000	19.113,196000	-	1.019.113,196000	Padrão - SND	Reg.	
14/09/2018	TSAE15	1.000.000,000000	18.774,747000	-	1.018.774,747000	Padrão - SND	Reg.	
13/09/2018	TSAE15	1.000.000,000000	18.436,408000	-	1.018.436,408000	Padrão - SND	Reg.	
12/09/2018	TSAE15	1.000.000,000000	18.098,189000	-	1.018.098,189000	Padrão - SND	Reg.	
11/09/2018	TSAE15	1.000.000,000000	17.760,073000	-	1.017.760,073000	Padrão - SND	Reg.	
10/09/2018	TSAE15	1.000.000,000000	17.422,078000	-	1.017.422,078000	Padrão - SND	Reg.	
06/09/2018	TSAE15	1.000.000,000000	17.084,193000	-	1.017.084,193000	Padrão - SND	Reg.	
05/09/2018	TSAE15	1.000.000,000000	16.746,419000	-	1.016.746,419000	Padrão - SND	Reg.	
