PU Histórico - Gerado em 07/10/2018 16:28:46

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	TSLE11	1.024,530387	23,692340	-	1.048,222727	Padrão - SND	Reg.	
04/10/2018	TSLE11	1.024,315159	23,384127	-	1.047,699285	Padrão - SND	Reg.	
03/10/2018	TSLE11	1.024,099961	23,076128	-	1.047,176090	Padrão - SND	Reg.	
02/10/2018	TSLE11	1.023,884824	22,768347	-	1.046,653171	Padrão - SND	Reg.	
01/10/2018	TSLE11	1.023,669717	22,460780	-	1.046,130497	Padrão - SND	Reg.	
28/09/2018	TSLE11	1.023,454660	22,153430	-	1.045,608090	Padrão - SND	Reg.	
27/09/2018	TSLE11	1.023,239644	21,846296	-	1.045,085940	Padrão - SND	Reg.	
26/09/2018	TSLE11	1.023,024677	21,539377	-	1.044,564055	Padrão - SND	Reg.	
25/09/2018	TSLE11	1.022,809761	21,232675	-	1.044,042436	Padrão - SND	Reg.	
24/09/2018	TSLE11	1.022,594886	20,926186	-	1.043,521072	Padrão - SND	Reg.	
21/09/2018	TSLE11	1.022,208490	20,616453	-	1.042,824943	Padrão - SND	Reg.	
20/09/2018	TSLE11	1.022,036618	20,311299	-	1.042,347916	Padrão - SND	Reg.	
19/09/2018	TSLE11	1.021,864786	20,006334	-	1.041,871120	Padrão - SND	Reg.	
18/09/2018	TSLE11	1.021,692964	19,701559	-	1.041,394523	Padrão - SND	Reg.	
17/09/2018	TSLE11	1.021,521182	19,396972	-	1.040,918154	Padrão - SND	Reg.	
14/09/2018	TSLE11	1.021,562947	19,096566	-	1.040,659513	Padrão - SND	Reg.	
13/09/2018	TSLE11	1.021,604713	18,796222	-	1.040,400935	Padrão - SND	Reg.	
12/09/2018	TSLE11	1.021,646478	18,495941	-	1.040,142419	Padrão - SND	Reg.	
11/09/2018	TSLE11	1.021,688254	18,195723	-	1.039,883977	Padrão - SND	Reg.	
10/09/2018	TSLE11	1.021,730019	17,895567	-	1.039,625586	Padrão - SND	Reg.	
06/09/2018	TSLE11	1.022,440374	17,606987	-	1.040,047360	Padrão - SND	Reg.	
05/09/2018	TSLE11	1.022,440374	17,306052	-	1.039,746426	Padrão - SND	Reg.	
04/09/2018	TSLE11	1.022,440374	17,005205	-	1.039,445579	Padrão - SND	Reg.	
03/09/2018	TSLE11	1.022,440374	16,704444	-	1.039,144818	Padrão - SND	Reg.	
31/08/2018	TSLE11	1.022,440374	16,403770	-	1.038,844143	Padrão - SND	Reg.	
30/08/2018	TSLE11	1.022,440374	16,103183	-	1.038,543557	Padrão - SND	Reg.	
29/08/2018	TSLE11	1.022,440374	15,802683	-	1.038,243057	Padrão - SND	Reg.	
28/08/2018	TSLE11	1.022,440374	15,502271	-	1.037,942644	Padrão - SND	Reg.	
27/08/2018	TSLE11	1.022,440374	15,201945	-	1.037,642319	Padrão - SND	Reg.	
