PU Histórico - Gerado em 07/10/2018 16:28:58

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	UBLS16	1,000000	3,458749	-	4,458749	Padrão - SND	Reg.	
04/10/2018	UBLS16	1,000000	3,457652	-	4,457652	Padrão - SND	Reg.	
03/10/2018	UBLS16	1,000000	3,456555	-	4,456555	Padrão - SND	Reg.	
02/10/2018	UBLS16	1,000000	3,455458	-	4,455458	Padrão - SND	Reg.	
01/10/2018	UBLS16	1,000000	3,454361	-	4,454361	Padrão - SND	Reg.	
28/09/2018	UBLS16	1,000000	3,453266	-	4,453266	Padrão - SND	Reg.	
27/09/2018	UBLS16	1,000000	3,452172	-	4,452172	Padrão - SND	Reg.	
26/09/2018	UBLS16	1,000000	3,451078	-	4,451078	Padrão - SND	Reg.	
25/09/2018	UBLS16	1,000000	3,449984	-	4,449984	Padrão - SND	Reg.	
24/09/2018	UBLS16	1,000000	3,448890	-	4,448890	Padrão - SND	Reg.	
21/09/2018	UBLS16	1,000000	3,447797	-	4,447797	Padrão - SND	Reg.	
20/09/2018	UBLS16	1,000000	3,446704	-	4,446704	Padrão - SND	Reg.	
19/09/2018	UBLS16	1,000000	3,445611	-	4,445611	Padrão - SND	Reg.	
18/09/2018	UBLS16	1,000000	3,444518	-	4,444518	Padrão - SND	Reg.	
17/09/2018	UBLS16	1,000000	3,443426	-	4,443426	Padrão - SND	Reg.	
14/09/2018	UBLS16	1,000000	3,442334	-	4,442334	Padrão - SND	Reg.	
13/09/2018	UBLS16	1,000000	3,441242	-	4,441242	Padrão - SND	Reg.	
12/09/2018	UBLS16	1,000000	3,440150	-	4,440150	Padrão - SND	Reg.	
11/09/2018	UBLS16	1,000000	3,439059	-	4,439059	Padrão - SND	Reg.	
10/09/2018	UBLS16	1,000000	3,437968	-	4,437968	Padrão - SND	Reg.	
06/09/2018	UBLS16	1,000000	3,436877	-	4,436877	Padrão - SND	Reg.	
05/09/2018	UBLS16	1,000000	3,435787	-	4,435787	Padrão - SND	Reg.	
04/09/2018	UBLS16	1,000000	3,434697	-	4,434697	Padrão - SND	Reg.	
03/09/2018	UBLS16	1,000000	3,433607	-	4,433607	Padrão - SND	Reg.	
31/08/2018	UBLS16	1,000000	3,432517	-	4,432517	Padrão - SND	Reg.	
30/08/2018	UBLS16	1,000000	3,431428	-	4,431428	Padrão - SND	Reg.	
29/08/2018	UBLS16	1,000000	3,430339	-	4,430339	Padrão - SND	Reg.	
28/08/2018	UBLS16	1,000000	3,429250	-	4,429250	Padrão - SND	Reg.	
27/08/2018	UBLS16	1,000000	3,428161	-	4,428161	Padrão - SND	Reg.	
24/08/2018	UBLS16	1,000000	3,427073	-	4,427073	Padrão - SND	Reg.	
23/08/2018	UBLS16	1,000000	3,425985	-	4,425985	Padrão - SND	Reg.	
22/08/2018	UBLS16	1,000000	3,424897	-	4,424897	Padrão - SND	Reg.	
21/08/2018	UBLS16	1,000000	3,423810	-	4,423810	Padrão - SND	Reg.	
20/08/2018	UBLS16	1,000000	3,422723	-	4,422723	Padrão - SND	Reg.	
17/08/2018	UBLS16	1,000000	3,421636	-	4,421636	Padrão - SND	Reg.	
16/08/2018	UBLS16	1,000000	3,420549	-	4,420549	Padrão - SND	Reg.	
15/08/2018	UBLS16	1,000000	3,419462	-	4,419462	Padrão - SND	Reg.	
14/08/2018	UBLS16	1,000000	3,418376	-	4,418376	Padrão - SND	Reg.	
13/08/2018	UBLS16	1,000000	3,417290	-	4,417290	Padrão - SND	Reg.	
10/08/2018	UBLS16	1,000000	3,416205	-	4,416205	Padrão - SND	Reg.	
09/08/2018	UBLS16	1,000000	3,415119	-	4,415119	Padrão - SND	Reg.	
08/08/2018	UBLS16	1,000000	3,414034	-	4,414034	Padrão - SND	Reg.	
07/08/2018	UBLS16	1,000000	3,412949	-	4,412949	Padrão - SND	Reg.	
06/08/2018	UBLS16	1,000000	3,411865	-	4,411865	Padrão - SND	Reg.	
03/08/2018	UBLS16	1,000000	3,410781	-	4,410781	Padrão - SND	Reg.	
02/08/2018	UBLS16	1,000000	3,409696	-	4,409696	Padrão - SND	Reg.	
01/08/2018	UBLS16	1,000000	3,408613	-	4,408613	Padrão - SND	Reg.	
31/07/2018	UBLS16	1,000000	3,407529	-	4,407529	Padrão - SND	Reg.	
30/07/2018	UBLS16	1,000000	3,406446	-	4,406446	Padrão - SND	Reg.	
27/07/2018	UBLS16	1,000000	3,405363	-	4,405363	Padrão - SND	Reg.	
26/07/2018	UBLS16	1,000000	3,404280	-	4,404280	Padrão - SND	Reg.	
25/07/2018	UBLS16	1,000000	3,403198	-	4,403198	Padrão - SND	Reg.	
24/07/2018	UBLS16	1,000000	3,402116	-	4,402116	Padrão - SND	Reg.	
23/07/2018	UBLS16	1,000000	3,401034	-	4,401034	Padrão - SND	Reg.	
20/07/2018	UBLS16	1,000000	3,399952	-	4,399952	Padrão - SND	Reg.	
19/07/2018	UBLS16	1,000000	3,398871	-	4,398871	Padrão - SND	Reg.	
18/07/2018	UBLS16	1,000000	3,397790	-	4,397790	Padrão - SND	Reg.	
17/07/2018	UBLS16	1,000000	3,396709	-	4,396709	Padrão - SND	Reg.	
16/07/2018	UBLS16	1,000000	3,395628	-	4,395628	Padrão - SND	Reg.	
13/07/2018	UBLS16	1,000000	3,394548	-	4,394548	Padrão - SND	Reg.	
12/07/2018	UBLS16	1,000000	3,393468	-	4,393468	Padrão - SND	Reg.	
11/07/2018	UBLS16	1,000000	3,392388	-	4,392388	Padrão - SND	Reg.	
10/07/2018	UBLS16	1,000000	3,391309	-	4,391309	Padrão - SND	Reg.	
09/07/2018	UBLS16	1,000000	3,390229	-	4,390229	Padrão - SND	Reg.	
06/07/2018	UBLS16	1,000000	3,389150	-	4,389150	Padrão - SND	Reg.	
05/07/2018	UBLS16	1,000000	3,388072	-	4,388072	Padrão - SND	Reg.	
04/07/2018	UBLS16	1,000000	3,386993	-	4,386993	Padrão - SND	Reg.	
03/07/2018	UBLS16	1,000000	3,385915	-	4,385915	Padrão - SND	Reg.	
02/07/2018	UBLS16	1,000000	3,384837	-	4,384837	Padrão - SND	Reg.	
29/06/2018	UBLS16	1,000000	3,383759	-	4,383759	Padrão - SND	Reg.	
28/06/2018	UBLS16	1,000000	3,382682	-	4,382682	Padrão - SND	Reg.	
27/06/2018	UBLS16	1,000000	3,381605	-	4,381605	Padrão - SND	Reg.	
26/06/2018	UBLS16	1,000000	3,380528	-	4,380528	Padrão - SND	Reg.	
25/06/2018	UBLS16	1,000000	3,379451	-	4,379451	Padrão - SND	Reg.	
22/06/2018	UBLS16	1,000000	3,378375	-	4,378375	Padrão - SND	Reg.	
21/06/2018	UBLS16	1,000000	3,377299	-	4,377299	Padrão - SND	Reg.	
20/06/2018	UBLS16	1,000000	3,376223	-	4,376223	Padrão - SND	Reg.	
19/06/2018	UBLS16	1,000000	3,375148	-	4,375148	Padrão - SND	Reg.	
18/06/2018	UBLS16	1,000000	3,374072	-	4,374072	Padrão - SND	Reg.	
15/06/2018	UBLS16	1,000000	3,372997	-	4,372997	Padrão - SND	Reg.	
14/06/2018	UBLS16	1,000000	3,371923	-	4,371923	Padrão - SND	Reg.	
13/06/2018	UBLS16	1,000000	3,370848	-	4,370848	Padrão - SND	Reg.	
12/06/2018	UBLS16	1,000000	3,369774	-	4,369774	Padrão - SND	Reg.	
11/06/2018	UBLS16	1,000000	3,368700	-	4,368700	Padrão - SND	Reg.	
08/06/2018	UBLS16	1,000000	3,367626	-	4,367626	Padrão - SND	Reg.	
07/06/2018	UBLS16	1,000000	3,366553	-	4,366553	Padrão - SND	Reg.	
06/06/2018	UBLS16	1,000000	3,365480	-	4,365480	Padrão - SND	Reg.	
05/06/2018	UBLS16	1,000000	3,364407	-	4,364407	Padrão - SND	Reg.	
04/06/2018	UBLS16	1,000000	3,363334	-	4,363334	Padrão - SND	Reg.	
01/06/2018	UBLS16	1,000000	3,362262	-	4,362262	Padrão - SND	Reg.	
30/05/2018	UBLS16	1,000000	3,361190	-	4,361190	Padrão - SND	Reg.	
29/05/2018	UBLS16	1,000000	3,360118	-	4,360118	Padrão - SND	Reg.	
28/05/2018	UBLS16	1,000000	3,359046	-	4,359046	Padrão - SND	Reg.	
25/05/2018	UBLS16	1,000000	3,357975	-	4,357975	Padrão - SND	Reg.	
24/05/2018	UBLS16	1,000000	3,356904	-	4,356904	Padrão - SND	Reg.	
23/05/2018	UBLS16	1,000000	3,355833	-	4,355833	Padrão - SND	Reg.	
22/05/2018	UBLS16	1,000000	3,354763	-	4,354763	Padrão - SND	Reg.	
21/05/2018	UBLS16	1,000000	3,353692	-	4,353692	Padrão - SND	Reg.	
18/05/2018	UBLS16	1,000000	3,352622	-	4,352622	Padrão - SND	Reg.	
17/05/2018	UBLS16	1,000000	3,351552	-	4,351552	Padrão - SND	Reg.	
16/05/2018	UBLS16	1,000000	3,350483	-	4,350483	Padrão - SND	Reg.	
15/05/2018	UBLS16	1,000000	3,349414	-	4,349414	Padrão - SND	Reg.	
14/05/2018	UBLS16	1,000000	3,348345	-	4,348345	Padrão - SND	Reg.	
11/05/2018	UBLS16	1,000000	3,347276	-	4,347276	Padrão - SND	Reg.	
10/05/2018	UBLS16	1,000000	3,346208	-	4,346208	Padrão - SND	Reg.	
09/05/2018	UBLS16	1,000000	3,345140	-	4,345140	Padrão - SND	Reg.	
08/05/2018	UBLS16	1,000000	3,344072	-	4,344072	Padrão - SND	Reg.	
07/05/2018	UBLS16	1,000000	3,343004	-	4,343004	Padrão - SND	Reg.	
