PU Histórico - Gerado em 07/10/2018 16:29:06

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ULFT12	1.016,014670	18,574935	-	1.034,589605	Padrão - SND	Reg.	
04/10/2018	ULFT12	1.016,062760	18,362829	-	1.034,425589	Padrão - SND	Reg.	
03/10/2018	ULFT12	1.016,110860	18,150748	-	1.034,261608	Padrão - SND	Reg.	
02/10/2018	ULFT12	1.016,158970	17,938689	-	1.034,097659	Padrão - SND	Reg.	
01/10/2018	ULFT12	1.016,207070	17,726655	-	1.033,933725	Padrão - SND	Reg.	
28/09/2018	ULFT12	1.016,255180	17,514645	-	1.033,769825	Padrão - SND	Reg.	
27/09/2018	ULFT12	1.016,303280	17,302658	-	1.033,605938	Padrão - SND	Reg.	
26/09/2018	ULFT12	1.016,351400	17,090695	-	1.033,442095	Padrão - SND	Reg.	
25/09/2018	ULFT12	1.016,399510	16,878755	-	1.033,278265	Padrão - SND	Reg.	
24/09/2018	ULFT12	1.016,447620	16,666839	-	1.033,114459	Padrão - SND	Reg.	
21/09/2018	ULFT12	1.016,495740	16,454947	-	1.032,950687	Padrão - SND	Reg.	
20/09/2018	ULFT12	1.016,543860	16,243079	-	1.032,786939	Padrão - SND	Reg.	
19/09/2018	ULFT12	1.016,591980	16,031234	-	1.032,623214	Padrão - SND	Reg.	
18/09/2018	ULFT12	1.016,640110	15,819412	-	1.032,459522	Padrão - SND	Reg.	
17/09/2018	ULFT12	1.016,688240	15,607615	-	1.032,295855	Padrão - SND	Reg.	
14/09/2018	ULFT12	1.016,729810	15,395743	-	1.032,125553	Padrão - SND	Reg.	
13/09/2018	ULFT12	1.016,771380	15,183895	-	1.031,955275	Padrão - SND	Reg.	
12/09/2018	ULFT12	1.016,812950	14,972076	-	1.031,785026	Padrão - SND	Reg.	
11/09/2018	ULFT12	1.016,854510	14,760281	-	1.031,614791	Padrão - SND	Reg.	
10/09/2018	ULFT12	1.016,896080	14,548514	-	1.031,444594	Padrão - SND	Reg.	
06/09/2018	ULFT12	1.020,044710	14,380575	-	1.034,425285	Padrão - SND	Reg.	
