PU Histórico - Gerado em 07/10/2018 16:29:10

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	UNDA20	10.000,000000	12,373980	-	10.012,373980	Padrão - SND	Reg.	
04/10/2018	UNDA20	10.000,000000	9,279060	-	10.009,279060	Padrão - SND	Reg.	
03/10/2018	UNDA20	10.000,000000	6,185090	-	10.006,185090	Padrão - SND	Reg.	
02/10/2018	UNDA20	10.000,000000	3,092070	-	10.003,092070	Padrão - SND	Reg.	
01/10/2018	UNDA20	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
28/09/2018	UNDA20	10.000,000000	399,953450	-	10.399,953450	Padrão - SND	Reg.	
27/09/2018	UNDA20	10.000,000000	396,742570	-	10.396,742570	Padrão - SND	Reg.	
26/09/2018	UNDA20	10.000,000000	393,532670	-	10.393,532670	Padrão - SND	Reg.	
25/09/2018	UNDA20	10.000,000000	390,323730	-	10.390,323730	Padrão - SND	Reg.	
24/09/2018	UNDA20	10.000,000000	387,115770	-	10.387,115770	Padrão - SND	Reg.	
21/09/2018	UNDA20	10.000,000000	383,908870	-	10.383,908870	Padrão - SND	Reg.	
20/09/2018	UNDA20	10.000,000000	380,702930	-	10.380,702930	Padrão - SND	Reg.	
19/09/2018	UNDA20	10.000,000000	377,497970	-	10.377,497970	Padrão - SND	Reg.	
18/09/2018	UNDA20	10.000,000000	374,293970	-	10.374,293970	Padrão - SND	Reg.	
17/09/2018	UNDA20	10.000,000000	371,091040	-	10.371,091040	Padrão - SND	Reg.	
14/09/2018	UNDA20	10.000,000000	367,889080	-	10.367,889080	Padrão - SND	Reg.	
13/09/2018	UNDA20	10.000,000000	364,688080	-	10.364,688080	Padrão - SND	Reg.	
12/09/2018	UNDA20	10.000,000000	361,488060	-	10.361,488060	Padrão - SND	Reg.	
11/09/2018	UNDA20	10.000,000000	358,288990	-	10.358,288990	Padrão - SND	Reg.	
10/09/2018	UNDA20	10.000,000000	355,090990	-	10.355,090990	Padrão - SND	Reg.	
06/09/2018	UNDA20	10.000,000000	351,893960	-	10.351,893960	Padrão - SND	Reg.	
05/09/2018	UNDA20	10.000,000000	348,697890	-	10.348,697890	Padrão - SND	Reg.	
04/09/2018	UNDA20	10.000,000000	345,502800	-	10.345,502800	Padrão - SND	Reg.	
03/09/2018	UNDA20	10.000,000000	342,308660	-	10.342,308660	Padrão - SND	Reg.	
31/08/2018	UNDA20	10.000,000000	339,115600	-	10.339,115600	Padrão - SND	Reg.	
30/08/2018	UNDA20	10.000,000000	335,923490	-	10.335,923490	Padrão - SND	Reg.	
29/08/2018	UNDA20	10.000,000000	332,732360	-	10.332,732360	Padrão - SND	Reg.	
28/08/2018	UNDA20	10.000,000000	329,542180	-	10.329,542180	Padrão - SND	Reg.	
27/08/2018	UNDA20	10.000,000000	326,353080	-	10.326,353080	Padrão - SND	Reg.	
24/08/2018	UNDA20	10.000,000000	323,164830	-	10.323,164830	Padrão - SND	Reg.	
23/08/2018	UNDA20	10.000,000000	319,977650	-	10.319,977650	Padrão - SND	Reg.	
22/08/2018	UNDA20	10.000,000000	316,791440	-	10.316,791440	Padrão - SND	Reg.	
21/08/2018	UNDA20	10.000,000000	313,606290	-	10.313,606290	Padrão - SND	Reg.	
20/08/2018	UNDA20	10.000,000000	310,422000	-	10.310,422000	Padrão - SND	Reg.	
17/08/2018	UNDA20	10.000,000000	307,238790	-	10.307,238790	Padrão - SND	Reg.	
16/08/2018	UNDA20	10.000,000000	304,056530	-	10.304,056530	Padrão - SND	Reg.	
15/08/2018	UNDA20	10.000,000000	300,875240	-	10.300,875240	Padrão - SND	Reg.	
14/08/2018	UNDA20	10.000,000000	297,694900	-	10.297,694900	Padrão - SND	Reg.	
13/08/2018	UNDA20	10.000,000000	294,515540	-	10.294,515540	Padrão - SND	Reg.	
10/08/2018	UNDA20	10.000,000000	291,337240	-	10.291,337240	Padrão - SND	Reg.	
09/08/2018	UNDA20	10.000,000000	288,159900	-	10.288,159900	Padrão - SND	Reg.	
08/08/2018	UNDA20	10.000,000000	284,983520	-	10.284,983520	Padrão - SND	Reg.	
07/08/2018	UNDA20	10.000,000000	281,808110	-	10.281,808110	Padrão - SND	Reg.	
06/08/2018	UNDA20	10.000,000000	278,633660	-	10.278,633660	Padrão - SND	Reg.	
03/08/2018	UNDA20	10.000,000000	275,460160	-	10.275,460160	Padrão - SND	Reg.	
02/08/2018	UNDA20	10.000,000000	272,287740	-	10.272,287740	Padrão - SND	Reg.	
01/08/2018	UNDA20	10.000,000000	269,116280	-	10.269,116280	Padrão - SND	Reg.	
31/07/2018	UNDA20	10.000,000000	265,945780	-	10.265,945780	Padrão - SND	Reg.	
30/07/2018	UNDA20	10.000,000000	262,776240	-	10.262,776240	Padrão - SND	Reg.	
27/07/2018	UNDA20	10.000,000000	259,607660	-	10.259,607660	Padrão - SND	Reg.	
26/07/2018	UNDA20	10.000,000000	256,440150	-	10.256,440150	Padrão - SND	Reg.	
25/07/2018	UNDA20	10.000,000000	253,273490	-	10.253,273490	Padrão - SND	Reg.	
24/07/2018	UNDA20	10.000,000000	250,107890	-	10.250,107890	Padrão - SND	Reg.	
23/07/2018	UNDA20	10.000,000000	246,943270	-	10.246,943270	Padrão - SND	Reg.	
20/07/2018	UNDA20	10.000,000000	243,779590	-	10.243,779590	Padrão - SND	Reg.	
19/07/2018	UNDA20	10.000,000000	240,616980	-	10.240,616980	Padrão - SND	Reg.	
18/07/2018	UNDA20	10.000,000000	237,455230	-	10.237,455230	Padrão - SND	Reg.	
17/07/2018	UNDA20	10.000,000000	234,294540	-	10.234,294540	Padrão - SND	Reg.	
16/07/2018	UNDA20	10.000,000000	231,134810	-	10.231,134810	Padrão - SND	Reg.	
13/07/2018	UNDA20	10.000,000000	227,975940	-	10.227,975940	Padrão - SND	Reg.	
12/07/2018	UNDA20	10.000,000000	224,818130	-	10.224,818130	Padrão - SND	Reg.	
11/07/2018	UNDA20	10.000,000000	221,661380	-	10.221,661380	Padrão - SND	Reg.	
10/07/2018	UNDA20	10.000,000000	218,505500	-	10.218,505500	Padrão - SND	Reg.	
09/07/2018	UNDA20	10.000,000000	215,350670	-	10.215,350670	Padrão - SND	Reg.	
06/07/2018	UNDA20	10.000,000000	212,196700	-	10.212,196700	Padrão - SND	Reg.	
05/07/2018	UNDA20	10.000,000000	209,043790	-	10.209,043790	Padrão - SND	Reg.	
04/07/2018	UNDA20	10.000,000000	205,891840	-	10.205,891840	Padrão - SND	Reg.	
03/07/2018	UNDA20	10.000,000000	202,740840	-	10.202,740840	Padrão - SND	Reg.	
02/07/2018	UNDA20	10.000,000000	199,590810	-	10.199,590810	Padrão - SND	Reg.	
29/06/2018	UNDA20	10.000,000000	196,441840	-	10.196,441840	Padrão - SND	Reg.	
28/06/2018	UNDA20	10.000,000000	193,293720	-	10.193,293720	Padrão - SND	Reg.	
27/06/2018	UNDA20	10.000,000000	190,146670	-	10.190,146670	Padrão - SND	Reg.	
26/06/2018	UNDA20	10.000,000000	187,000570	-	10.187,000570	Padrão - SND	Reg.	
25/06/2018	UNDA20	10.000,000000	183,855330	-	10.183,855330	Padrão - SND	Reg.	
22/06/2018	UNDA20	10.000,000000	180,711150	-	10.180,711150	Padrão - SND	Reg.	
21/06/2018	UNDA20	10.000,000000	177,568020	-	10.177,568020	Padrão - SND	Reg.	
20/06/2018	UNDA20	10.000,000000	174,425750	-	10.174,425750	Padrão - SND	Reg.	
19/06/2018	UNDA20	10.000,000000	171,284440	-	10.171,284440	Padrão - SND	Reg.	
18/06/2018	UNDA20	10.000,000000	168,144190	-	10.168,144190	Padrão - SND	Reg.	
15/06/2018	UNDA20	10.000,000000	165,004800	-	10.165,004800	Padrão - SND	Reg.	
14/06/2018	UNDA20	10.000,000000	161,866460	-	10.161,866460	Padrão - SND	Reg.	
13/06/2018	UNDA20	10.000,000000	158,729080	-	10.158,729080	Padrão - SND	Reg.	
12/06/2018	UNDA20	10.000,000000	155,592660	-	10.155,592660	Padrão - SND	Reg.	
11/06/2018	UNDA20	10.000,000000	152,457200	-	10.152,457200	Padrão - SND	Reg.	
08/06/2018	UNDA20	10.000,000000	149,322780	-	10.149,322780	Padrão - SND	Reg.	
07/06/2018	UNDA20	10.000,000000	146,189230	-	10.146,189230	Padrão - SND	Reg.	
06/06/2018	UNDA20	10.000,000000	143,056630	-	10.143,056630	Padrão - SND	Reg.	
05/06/2018	UNDA20	10.000,000000	139,925090	-	10.139,925090	Padrão - SND	Reg.	
04/06/2018	UNDA20	10.000,000000	136,794500	-	10.136,794500	Padrão - SND	Reg.	
01/06/2018	UNDA20	10.000,000000	133,664780	-	10.133,664780	Padrão - SND	Reg.	
30/05/2018	UNDA20	10.000,000000	130,536100	-	10.130,536100	Padrão - SND	Reg.	
