PU Histórico - Gerado em 07/10/2018 16:29:18

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	UNIP14	10.000,000000	35,330890	-	10.035,330890	Padrão - SND	Reg.	
04/10/2018	UNIP14	10.000,000000	32,111440	-	10.032,111440	Padrão - SND	Reg.	
03/10/2018	UNIP14	10.000,000000	28,893110	-	10.028,893110	Padrão - SND	Reg.	
02/10/2018	UNIP14	10.000,000000	25,675720	-	10.025,675720	Padrão - SND	Reg.	
01/10/2018	UNIP14	10.000,000000	22,459440	-	10.022,459440	Padrão - SND	Reg.	
28/09/2018	UNIP14	10.000,000000	19,247890	-	10.019,247890	Padrão - SND	Reg.	
27/09/2018	UNIP14	10.000,000000	16,037260	-	10.016,037260	Padrão - SND	Reg.	
26/09/2018	UNIP14	10.000,000000	12,827770	-	10.012,827770	Padrão - SND	Reg.	
25/09/2018	UNIP14	10.000,000000	9,619290	-	10.009,619290	Padrão - SND	Reg.	
24/09/2018	UNIP14	10.000,000000	6,411830	-	10.006,411830	Padrão - SND	Reg.	
21/09/2018	UNIP14	10.000,000000	3,205400	-	10.003,205400	Padrão - SND	Reg.	
20/09/2018	UNIP14	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
19/09/2018	UNIP14	10.000,000000	395,409340	-	10.395,409340	Padrão - SND	Reg.	
18/09/2018	UNIP14	10.000,000000	392,078240	-	10.392,078240	Padrão - SND	Reg.	
17/09/2018	UNIP14	10.000,000000	388,748190	-	10.388,748190	Padrão - SND	Reg.	
14/09/2018	UNIP14	10.000,000000	385,419290	-	10.385,419290	Padrão - SND	Reg.	
13/09/2018	UNIP14	10.000,000000	382,091430	-	10.382,091430	Padrão - SND	Reg.	
12/09/2018	UNIP14	10.000,000000	378,764610	-	10.378,764610	Padrão - SND	Reg.	
11/09/2018	UNIP14	10.000,000000	375,438850	-	10.375,438850	Padrão - SND	Reg.	
10/09/2018	UNIP14	10.000,000000	372,114120	-	10.372,114120	Padrão - SND	Reg.	
06/09/2018	UNIP14	10.000,000000	368,790540	-	10.368,790540	Padrão - SND	Reg.	
05/09/2018	UNIP14	10.000,000000	365,468000	-	10.365,468000	Padrão - SND	Reg.	
04/09/2018	UNIP14	10.000,000000	362,146500	-	10.362,146500	Padrão - SND	Reg.	
03/09/2018	UNIP14	10.000,000000	358,826060	-	10.358,826060	Padrão - SND	Reg.	
31/08/2018	UNIP14	10.000,000000	355,506650	-	10.355,506650	Padrão - SND	Reg.	
30/08/2018	UNIP14	10.000,000000	352,188390	-	10.352,188390	Padrão - SND	Reg.	
29/08/2018	UNIP14	10.000,000000	348,871160	-	10.348,871160	Padrão - SND	Reg.	
28/08/2018	UNIP14	10.000,000000	345,554980	-	10.345,554980	Padrão - SND	Reg.	
27/08/2018	UNIP14	10.000,000000	342,239850	-	10.342,239850	Padrão - SND	Reg.	
24/08/2018	UNIP14	10.000,000000	338,925850	-	10.338,925850	Padrão - SND	Reg.	
23/08/2018	UNIP14	10.000,000000	335,612800	-	10.335,612800	Padrão - SND	Reg.	
22/08/2018	UNIP14	10.000,000000	332,300900	-	10.332,300900	Padrão - SND	Reg.	
21/08/2018	UNIP14	10.000,000000	328,990030	-	10.328,990030	Padrão - SND	Reg.	
20/08/2018	UNIP14	10.000,000000	325,680290	-	10.325,680290	Padrão - SND	Reg.	
17/08/2018	UNIP14	10.000,000000	322,371510	-	10.322,371510	Padrão - SND	Reg.	
16/08/2018	UNIP14	10.000,000000	319,063870	-	10.319,063870	Padrão - SND	Reg.	
15/08/2018	UNIP14	10.000,000000	315,757260	-	10.315,757260	Padrão - SND	Reg.	
14/08/2018	UNIP14	10.000,000000	312,451710	-	10.312,451710	Padrão - SND	Reg.	
13/08/2018	UNIP14	10.000,000000	309,147180	-	10.309,147180	Padrão - SND	Reg.	
10/08/2018	UNIP14	10.000,000000	305,843700	-	10.305,843700	Padrão - SND	Reg.	
09/08/2018	UNIP14	10.000,000000	302,541360	-	10.302,541360	Padrão - SND	Reg.	
08/08/2018	UNIP14	10.000,000000	299,240060	-	10.299,240060	Padrão - SND	Reg.	
07/08/2018	UNIP14	10.000,000000	295,939800	-	10.295,939800	Padrão - SND	Reg.	
06/08/2018	UNIP14	10.000,000000	292,640580	-	10.292,640580	Padrão - SND	Reg.	
03/08/2018	UNIP14	10.000,000000	289,342390	-	10.289,342390	Padrão - SND	Reg.	
02/08/2018	UNIP14	10.000,000000	286,045260	-	10.286,045260	Padrão - SND	Reg.	
01/08/2018	UNIP14	10.000,000000	282,749240	-	10.282,749240	Padrão - SND	Reg.	
31/07/2018	UNIP14	10.000,000000	279,454290	-	10.279,454290	Padrão - SND	Reg.	
30/07/2018	UNIP14	10.000,000000	276,160360	-	10.276,160360	Padrão - SND	Reg.	
27/07/2018	UNIP14	10.000,000000	272,867470	-	10.272,867470	Padrão - SND	Reg.	
26/07/2018	UNIP14	10.000,000000	269,575630	-	10.269,575630	Padrão - SND	Reg.	
