PU Histórico - Gerado em 07/10/2018 16:29:30

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	USSG12	10.000,000000	399,713030	-	10.399,713030	Padrão - SND	Reg.	
04/10/2018	USSG12	10.000,000000	396,134570	-	10.396,134570	Padrão - SND	Reg.	
03/10/2018	USSG12	10.000,000000	392,557310	-	10.392,557310	Padrão - SND	Reg.	
02/10/2018	USSG12	10.000,000000	388,981260	-	10.388,981260	Padrão - SND	Reg.	
01/10/2018	USSG12	10.000,000000	385,406420	-	10.385,406420	Padrão - SND	Reg.	
28/09/2018	USSG12	10.000,000000	381,836620	-	10.381,836620	Padrão - SND	Reg.	
27/09/2018	USSG12	10.000,000000	378,268130	-	10.378,268130	Padrão - SND	Reg.	
26/09/2018	USSG12	10.000,000000	374,700850	-	10.374,700850	Padrão - SND	Reg.	
25/09/2018	USSG12	10.000,000000	371,134780	-	10.371,134780	Padrão - SND	Reg.	
24/09/2018	USSG12	10.000,000000	367,569910	-	10.367,569910	Padrão - SND	Reg.	
21/09/2018	USSG12	10.000,000000	364,006340	-	10.364,006340	Padrão - SND	Reg.	
20/09/2018	USSG12	10.000,000000	360,443880	-	10.360,443880	Padrão - SND	Reg.	
19/09/2018	USSG12	10.000,000000	356,882730	-	10.356,882730	Padrão - SND	Reg.	
18/09/2018	USSG12	10.000,000000	353,322780	-	10.353,322780	Padrão - SND	Reg.	
17/09/2018	USSG12	10.000,000000	349,764140	-	10.349,764140	Padrão - SND	Reg.	
14/09/2018	USSG12	10.000,000000	346,206590	-	10.346,206590	Padrão - SND	Reg.	
13/09/2018	USSG12	10.000,000000	342,650350	-	10.342,650350	Padrão - SND	Reg.	
12/09/2018	USSG12	10.000,000000	339,095320	-	10.339,095320	Padrão - SND	Reg.	
11/09/2018	USSG12	10.000,000000	335,541490	-	10.335,541490	Padrão - SND	Reg.	
10/09/2018	USSG12	10.000,000000	331,988860	-	10.331,988860	Padrão - SND	Reg.	
06/09/2018	USSG12	10.000,000000	328,437440	-	10.328,437440	Padrão - SND	Reg.	
05/09/2018	USSG12	10.000,000000	324,887310	-	10.324,887310	Padrão - SND	Reg.	
04/09/2018	USSG12	10.000,000000	321,338390	-	10.321,338390	Padrão - SND	Reg.	
03/09/2018	USSG12	10.000,000000	317,790670	-	10.317,790670	Padrão - SND	Reg.	
31/08/2018	USSG12	10.000,000000	314,244150	-	10.314,244150	Padrão - SND	Reg.	
30/08/2018	USSG12	10.000,000000	310,698830	-	10.310,698830	Padrão - SND	Reg.	
29/08/2018	USSG12	10.000,000000	307,154720	-	10.307,154720	Padrão - SND	Reg.	
28/08/2018	USSG12	10.000,000000	303,611910	-	10.303,611910	Padrão - SND	Reg.	
27/08/2018	USSG12	10.000,000000	300,070300	-	10.300,070300	Padrão - SND	Reg.	
24/08/2018	USSG12	10.000,000000	296,529890	-	10.296,529890	Padrão - SND	Reg.	
23/08/2018	USSG12	10.000,000000	292,990660	-	10.292,990660	Padrão - SND	Reg.	
22/08/2018	USSG12	10.000,000000	289,452660	-	10.289,452660	Padrão - SND	Reg.	
21/08/2018	USSG12	10.000,000000	285,915940	-	10.285,915940	Padrão - SND	Reg.	
20/08/2018	USSG12	10.000,000000	282,380330	-	10.282,380330	Padrão - SND	Reg.	
17/08/2018	USSG12	10.000,000000	278,846010	-	10.278,846010	Padrão - SND	Reg.	
16/08/2018	USSG12	10.000,000000	275,312890	-	10.275,312890	Padrão - SND	Reg.	
15/08/2018	USSG12	10.000,000000	271,780970	-	10.271,780970	Padrão - SND	Reg.	
14/08/2018	USSG12	10.000,000000	268,250360	-	10.268,250360	Padrão - SND	Reg.	
13/08/2018	USSG12	10.000,000000	264,720830	-	10.264,720830	Padrão - SND	Reg.	
10/08/2018	USSG12	10.000,000000	261,192610	-	10.261,192610	Padrão - SND	Reg.	
09/08/2018	USSG12	10.000,000000	257,665570	-	10.257,665570	Padrão - SND	Reg.	
08/08/2018	USSG12	10.000,000000	254,139650	-	10.254,139650	Padrão - SND	Reg.	
07/08/2018	USSG12	10.000,000000	250,615010	-	10.250,615010	Padrão - SND	Reg.	
06/08/2018	USSG12	10.000,000000	247,091680	-	10.247,091680	Padrão - SND	Reg.	
03/08/2018	USSG12	10.000,000000	243,569430	-	10.243,569430	Padrão - SND	Reg.	
02/08/2018	USSG12	10.000,000000	240,048490	-	10.240,048490	Padrão - SND	Reg.	
01/08/2018	USSG12	10.000,000000	236,528640	-	10.236,528640	Padrão - SND	Reg.	
31/07/2018	USSG12	10.000,000000	233,010090	-	10.233,010090	Padrão - SND	Reg.	
30/07/2018	USSG12	10.000,000000	229,492730	-	10.229,492730	Padrão - SND	Reg.	
27/07/2018	USSG12	10.000,000000	225,976560	-	10.225,976560	Padrão - SND	Reg.	
26/07/2018	USSG12	10.000,000000	222,461590	-	10.222,461590	Padrão - SND	Reg.	
