PU Histórico - Gerado em 17/02/2019 12:20:49

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	VDPT12	1.000,000000	3,486322	-	1.003,486322	Padrão - SND	Reg.	
14/02/2019	VDPT12	1.000,000000	3,137139	-	1.003,137139	Padrão - SND	Reg.	
13/02/2019	VDPT12	1.000,000000	2,788088	-	1.002,788088	Padrão - SND	Reg.	
12/02/2019	VDPT12	1.000,000000	2,439147	-	1.002,439147	Padrão - SND	Reg.	
11/02/2019	VDPT12	1.000,000000	2,090338	-	1.002,090338	Padrão - SND	Reg.	
08/02/2019	VDPT12	1.000,000000	1,741647	-	1.001,741647	Padrão - SND	Reg.	
07/02/2019	VDPT12	1.000,000000	1,393069	-	1.001,393069	Padrão - SND	Reg.	
06/02/2019	VDPT12	1.000,000000	1,044621	-	1.001,044621	Padrão - SND	Reg.	
05/02/2019	VDPT12	1.000,000000	0,696293	-	1.000,696293	Padrão - SND	Reg.	
04/02/2019	VDPT12	1.000,000000	0,348086	-	1.000,348086	Padrão - SND	Reg.	
01/02/2019	VDPT12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
31/01/2019	VDPT12	1.000,000000	7,335317	-	1.007,335317	Padrão - SND	Reg.	
30/01/2019	VDPT12	1.000,000000	6,984794	-	1.006,984794	Padrão - SND	Reg.	
29/01/2019	VDPT12	1.000,000000	6,634403	-	1.006,634403	Padrão - SND	Reg.	
28/01/2019	VDPT12	1.000,000000	6,284132	-	1.006,284132	Padrão - SND	Reg.	
25/01/2019	VDPT12	1.000,000000	5,933973	-	1.005,933973	Padrão - SND	Reg.	
24/01/2019	VDPT12	1.000,000000	5,583944	-	1.005,583944	Padrão - SND	Reg.	
23/01/2019	VDPT12	1.000,000000	5,234036	-	1.005,234036	Padrão - SND	Reg.	
22/01/2019	VDPT12	1.000,000000	4,884249	-	1.004,884249	Padrão - SND	Reg.	
21/01/2019	VDPT12	1.000,000000	4,534584	-	1.004,534584	Padrão - SND	Reg.	
18/01/2019	VDPT12	1.000,000000	4,185039	-	1.004,185039	Padrão - SND	Reg.	
17/01/2019	VDPT12	1.000,000000	3,835626	-	1.003,835626	Padrão - SND	Reg.	
16/01/2019	VDPT12	1.000,000000	3,486322	-	1.003,486322	Padrão - SND	Reg.	
15/01/2019	VDPT12	1.000,000000	3,137140	-	1.003,137140	Padrão - SND	Reg.	
14/01/2019	VDPT12	1.000,000000	2,788088	-	1.002,788088	Padrão - SND	Reg.	
11/01/2019	VDPT12	1.000,000000	2,439147	-	1.002,439147	Padrão - SND	Reg.	
10/01/2019	VDPT12	1.000,000000	2,090338	-	1.002,090338	Padrão - SND	Reg.	
09/01/2019	VDPT12	1.000,000000	1,741647	-	1.001,741647	Padrão - SND	Reg.	
08/01/2019	VDPT12	1.000,000000	1,393069	-	1.001,393069	Padrão - SND	Reg.	
07/01/2019	VDPT12	1.000,000000	1,044621	-	1.001,044621	Padrão - SND	Reg.	
04/01/2019	VDPT12	1.000,000000	0,696293	-	1.000,696293	Padrão - SND	Reg.	
03/01/2019	VDPT12	1.000,000000	0,348086	-	1.000,348086	Padrão - SND	Reg.	
02/01/2019	VDPT12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
31/12/2018	VDPT12	1.000,000000	6,634402	-	1.006,634402	Padrão - SND	Reg.	
28/12/2018	VDPT12	1.000,000000	6,284131	-	1.006,284131	Padrão - SND	Reg.	
27/12/2018	VDPT12	1.000,000000	5,933972	-	1.005,933972	Padrão - SND	Reg.	
26/12/2018	VDPT12	1.000,000000	5,583944	-	1.005,583944	Padrão - SND	Reg.	
24/12/2018	VDPT12	1.000,000000	5,234036	-	1.005,234036	Padrão - SND	Reg.	
21/12/2018	VDPT12	1.000,000000	4,884249	-	1.004,884249	Padrão - SND	Reg.	
20/12/2018	VDPT12	1.000,000000	4,534584	-	1.004,534584	Padrão - SND	Reg.	
19/12/2018	VDPT12	1.000,000000	4,185039	-	1.004,185039	Padrão - SND	Reg.	
18/12/2018	VDPT12	1.000,000000	3,835625	-	1.003,835625	Padrão - SND	Reg.	
17/12/2018	VDPT12	1.000,000000	3,486322	-	1.003,486322	Padrão - SND	Reg.	
14/12/2018	VDPT12	1.000,000000	3,137139	-	1.003,137139	Padrão - SND	Reg.	
13/12/2018	VDPT12	1.000,000000	2,788088	-	1.002,788088	Padrão - SND	Reg.	
12/12/2018	VDPT12	1.000,000000	2,439147	-	1.002,439147	Padrão - SND	Reg.	
11/12/2018	VDPT12	1.000,000000	2,090338	-	1.002,090338	Padrão - SND	Reg.	
10/12/2018	VDPT12	1.000,000000	1,741647	-	1.001,741647	Padrão - SND	Reg.	
07/12/2018	VDPT12	1.000,000000	1,393069	-	1.001,393069	Padrão - SND	Reg.	
06/12/2018	VDPT12	1.000,000000	1,044621	-	1.001,044621	Padrão - SND	Reg.	
05/12/2018	VDPT12	1.000,000000	0,696293	-	1.000,696293	Padrão - SND	Reg.	
04/12/2018	VDPT12	1.000,000000	0,348086	-	1.000,348086	Padrão - SND	Reg.	
03/12/2018	VDPT12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
30/11/2018	VDPT12	1.000,000000	6,634402	-	1.006,634402	Padrão - SND	Reg.	
29/11/2018	VDPT12	1.000,000000	6,284131	-	1.006,284131	Padrão - SND	Reg.	
28/11/2018	VDPT12	1.000,000000	5,933972	-	1.005,933972	Padrão - SND	Reg.	
27/11/2018	VDPT12	1.000,000000	5,583944	-	1.005,583944	Padrão - SND	Reg.	
26/11/2018	VDPT12	1.000,000000	5,234036	-	1.005,234036	Padrão - SND	Reg.	
23/11/2018	VDPT12	1.000,000000	4,884249	-	1.004,884249	Padrão - SND	Reg.	
22/11/2018	VDPT12	1.000,000000	4,534584	-	1.004,534584	Padrão - SND	Reg.	
21/11/2018	VDPT12	1.000,000000	4,185039	-	1.004,185039	Padrão - SND	Reg.	
20/11/2018	VDPT12	1.000,000000	3,835625	-	1.003,835625	Padrão - SND	Reg.	
19/11/2018	VDPT12	1.000,000000	3,486322	-	1.003,486322	Padrão - SND	Reg.	
16/11/2018	VDPT12	1.000,000000	3,137139	-	1.003,137139	Padrão - SND	Reg.	
14/11/2018	VDPT12	1.000,000000	2,788088	-	1.002,788088	Padrão - SND	Reg.	
13/11/2018	VDPT12	1.000,000000	2,439147	-	1.002,439147	Padrão - SND	Reg.	
12/11/2018	VDPT12	1.000,000000	2,090338	-	1.002,090338	Padrão - SND	Reg.	
09/11/2018	VDPT12	1.000,000000	1,741647	-	1.001,741647	Padrão - SND	Reg.	
08/11/2018	VDPT12	1.000,000000	1,393069	-	1.001,393069	Padrão - SND	Reg.	
07/11/2018	VDPT12	1.000,000000	1,044621	-	1.001,044621	Padrão - SND	Reg.	
06/11/2018	VDPT12	1.000,000000	0,696293	-	1.000,696293	Padrão - SND	Reg.	
05/11/2018	VDPT12	1.000,000000	0,348086	-	1.000,348086	Padrão - SND	Reg.	
01/11/2018	VDPT12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
31/10/2018	VDPT12	1.000,000000	4,534584	-	1.004,534584	Padrão - SND	Reg.	
30/10/2018	VDPT12	1.000,000000	4,185039	-	1.004,185039	Padrão - SND	Reg.	
29/10/2018	VDPT12	1.000,000000	3,835625	-	1.003,835625	Padrão - SND	Reg.	
26/10/2018	VDPT12	1.000,000000	3,486322	-	1.003,486322	Padrão - SND	Reg.	
25/10/2018	VDPT12	1.000,000000	3,137139	-	1.003,137139	Padrão - SND	Reg.	
24/10/2018	VDPT12	1.000,000000	2,788088	-	1.002,788088	Padrão - SND	Reg.	
23/10/2018	VDPT12	1.000,000000	2,439147	-	1.002,439147	Padrão - SND	Reg.	
22/10/2018	VDPT12	1.000,000000	2,090338	-	1.002,090338	Padrão - SND	Reg.	
19/10/2018	VDPT12	1.000,000000	1,741647	-	1.001,741647	Padrão - SND	Reg.	
18/10/2018	VDPT12	1.000,000000	1,393069	-	1.001,393069	Padrão - SND	Reg.	
17/10/2018	VDPT12	1.000,000000	1,044621	-	1.001,044621	Padrão - SND	Reg.	
16/10/2018	VDPT12	1.000,000000	0,696293	-	1.000,696293	Padrão - SND	Reg.	
15/10/2018	VDPT12	1.000,000000	0,348086	-	1.000,348086	Padrão - SND	Reg.	
11/10/2018	VDPT12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
10/10/2018	VDPT12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
