PU Histórico - Gerado em 17/02/2019 12:20:57

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	VPRC12	878,937000	4,588619	-	883,525619	Padrão - SND	Reg.	
14/02/2019	VPRC12	878,937000	4,260067	-	883,197067	Padrão - SND	Reg.	
13/02/2019	VPRC12	878,937000	3,931635	-	882,868635	Padrão - SND	Reg.	
12/02/2019	VPRC12	878,937000	3,603336	-	882,540336	Padrão - SND	Reg.	
11/02/2019	VPRC12	878,937000	3,275148	-	882,212148	Padrão - SND	Reg.	
08/02/2019	VPRC12	878,937000	2,947081	-	881,884081	Padrão - SND	Reg.	
07/02/2019	VPRC12	878,937000	2,619144	-	881,556144	Padrão - SND	Reg.	
06/02/2019	VPRC12	878,937000	2,291320	-	881,228320	Padrão - SND	Reg.	
05/02/2019	VPRC12	878,937000	1,963627	-	880,900627	Padrão - SND	Reg.	
04/02/2019	VPRC12	878,937000	1,636054	-	880,573054	Padrão - SND	Reg.	
01/02/2019	VPRC12	878,937000	1,308594	-	880,245594	Padrão - SND	Reg.	
31/01/2019	VPRC12	878,937000	0,981264	-	879,918264	Padrão - SND	Reg.	
30/01/2019	VPRC12	878,937000	0,654055	-	879,591055	Padrão - SND	Reg.	
29/01/2019	VPRC12	878,937000	0,326967	-	879,263967	Padrão - SND	Reg.	
28/01/2019	VPRC12	878,937000	-  	-	878,937000	Padrão - SND	Reg.	
25/01/2019	VPRC12	910,305000	6,796701	-	917,101701	Padrão - SND	Reg.	
24/01/2019	VPRC12	910,305000	6,455667	-	916,760667	Padrão - SND	Reg.	
23/01/2019	VPRC12	910,305000	6,114760	-	916,419760	Padrão - SND	Reg.	
22/01/2019	VPRC12	910,305000	5,773970	-	916,078970	Padrão - SND	Reg.	
21/01/2019	VPRC12	910,305000	5,433314	-	915,738314	Padrão - SND	Reg.	
18/01/2019	VPRC12	910,305000	5,092784	-	915,397784	Padrão - SND	Reg.	
17/01/2019	VPRC12	910,305000	4,752381	-	915,057381	Padrão - SND	Reg.	
16/01/2019	VPRC12	910,305000	4,412103	-	914,717103	Padrão - SND	Reg.	
