PU Histórico - Gerado em 07/10/2018 16:30:17

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	VRCP31	1.593,943149	77,534401	-	1.671,477551	Padrão - SND	Reg.	
04/10/2018	VRCP31	1.593,608288	76,959237	-	1.670,567526	Padrão - SND	Reg.	
03/10/2018	VRCP31	1.593,273499	76,384498	-	1.669,657997	Padrão - SND	Reg.	
02/10/2018	VRCP31	1.592,938782	75,810184	-	1.668,748966	Padrão - SND	Reg.	
01/10/2018	VRCP31	1.592,604137	75,236293	-	1.667,840431	Padrão - SND	Reg.	
28/09/2018	VRCP31	1.592,269550	74,662828	-	1.666,932378	Padrão - SND	Reg.	
27/09/2018	VRCP31	1.591,935035	74,089787	-	1.666,024822	Padrão - SND	Reg.	
26/09/2018	VRCP31	1.591,600593	73,517169	-	1.665,117762	Padrão - SND	Reg.	
25/09/2018	VRCP31	1.591,266236	72,944975	-	1.664,211211	Padrão - SND	Reg.	
24/09/2018	VRCP31	1.590,931924	72,373203	-	1.663,305127	Padrão - SND	Reg.	
21/09/2018	VRCP31	1.590,330787	71,789807	-	1.662,120594	Padrão - SND	Reg.	
20/09/2018	VRCP31	1.590,063400	71,221967	-	1.661,285367	Padrão - SND	Reg.	
19/09/2018	VRCP31	1.589,796056	70,654500	-	1.660,450556	Padrão - SND	Reg.	
18/09/2018	VRCP31	1.589,528742	70,087409	-	1.659,616150	Padrão - SND	Reg.	
17/09/2018	VRCP31	1.589,261485	69,520691	-	1.658,782176	Padrão - SND	Reg.	
14/09/2018	VRCP31	1.589,326463	68,968763	-	1.658,295226	Padrão - SND	Reg.	
13/09/2018	VRCP31	1.589,391455	68,416976	-	1.657,808431	Padrão - SND	Reg.	
12/09/2018	VRCP31	1.589,456433	67,865330	-	1.657,321763	Padrão - SND	Reg.	
11/09/2018	VRCP31	1.589,521411	67,313822	-	1.656,835233	Padrão - SND	Reg.	
10/09/2018	VRCP31	1.589,586389	66,762455	-	1.656,348844	Padrão - SND	Reg.	
06/09/2018	VRCP31	1.590,691550	66,254552	-	1.656,946102	Padrão - SND	Reg.	
05/09/2018	VRCP31	1.590,691550	65,700419	-	1.656,391969	Padrão - SND	Reg.	
04/09/2018	VRCP31	1.590,691550	65,146472	-	1.655,838021	Padrão - SND	Reg.	
03/09/2018	VRCP31	1.590,691550	64,592709	-	1.655,284259	Padrão - SND	Reg.	
31/08/2018	VRCP31	1.590,691550	64,039131	-	1.654,730680	Padrão - SND	Reg.	
30/08/2018	VRCP31	1.590,691550	63,485739	-	1.654,177288	Padrão - SND	Reg.	
29/08/2018	VRCP31	1.590,691550	62,932531	-	1.653,624081	Padrão - SND	Reg.	
28/08/2018	VRCP31	1.590,691550	62,379508	-	1.653,071058	Padrão - SND	Reg.	
27/08/2018	VRCP31	1.590,691550	61,826671	-	1.652,518221	Padrão - SND	Reg.	
24/08/2018	VRCP31	1.590,691550	61,274017	-	1.651,965567	Padrão - SND	Reg.	
23/08/2018	VRCP31	1.591,991615	60,771179	-	1.652,762794	Padrão - SND	Reg.	
22/08/2018	VRCP31	1.591,774849	60,210245	-	1.651,985093	Padrão - SND	Reg.	
21/08/2018	VRCP31	1.591,558125	59,649647	-	1.651,207773	Padrão - SND	Reg.	
20/08/2018	VRCP31	1.591,341445	59,089387	-	1.650,430832	Padrão - SND	Reg.	
17/08/2018	VRCP31	1.591,124780	58,529463	-	1.649,654243	Padrão - SND	Reg.	
16/08/2018	VRCP31	1.590,908143	57,969874	-	1.648,878017	Padrão - SND	Reg.	
15/08/2018	VRCP31	1.590,691550	57,410622	-	1.648,102172	Padrão - SND	Reg.	
