PU Histórico - Gerado em 17/02/2019 12:20:59

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	VRGL17	10.000,000000	100,940800	-	10.100,940800	Padrão - SND	Reg.	
14/02/2019	VRGL17	10.000,000000	97,957500	-	10.097,957500	Padrão - SND	Reg.	
13/02/2019	VRGL17	10.000,000000	94,975000	-	10.094,975000	Padrão - SND	Reg.	
12/02/2019	VRGL17	10.000,000000	91,993400	-	10.091,993400	Padrão - SND	Reg.	
11/02/2019	VRGL17	10.000,000000	89,012700	-	10.089,012700	Padrão - SND	Reg.	
08/02/2019	VRGL17	10.000,000000	86,032900	-	10.086,032900	Padrão - SND	Reg.	
07/02/2019	VRGL17	10.000,000000	83,054000	-	10.083,054000	Padrão - SND	Reg.	
06/02/2019	VRGL17	10.000,000000	80,075900	-	10.080,075900	Padrão - SND	Reg.	
05/02/2019	VRGL17	10.000,000000	77,098700	-	10.077,098700	Padrão - SND	Reg.	
04/02/2019	VRGL17	10.000,000000	74,122400	-	10.074,122400	Padrão - SND	Reg.	
01/02/2019	VRGL17	10.000,000000	71,147000	-	10.071,147000	Padrão - SND	Reg.	
31/01/2019	VRGL17	10.000,000000	68,172500	-	10.068,172500	Padrão - SND	Reg.	
30/01/2019	VRGL17	10.000,000000	65,198800	-	10.065,198800	Padrão - SND	Reg.	
29/01/2019	VRGL17	10.000,000000	62,226000	-	10.062,226000	Padrão - SND	Reg.	
28/01/2019	VRGL17	10.000,000000	59,254100	-	10.059,254100	Padrão - SND	Reg.	
25/01/2019	VRGL17	10.000,000000	56,283100	-	10.056,283100	Padrão - SND	Reg.	
24/01/2019	VRGL17	10.000,000000	53,313000	-	10.053,313000	Padrão - SND	Reg.	
23/01/2019	VRGL17	10.000,000000	50,343700	-	10.050,343700	Padrão - SND	Reg.	
22/01/2019	VRGL17	10.000,000000	47,375300	-	10.047,375300	Padrão - SND	Reg.	
21/01/2019	VRGL17	10.000,000000	44,407800	-	10.044,407800	Padrão - SND	Reg.	
18/01/2019	VRGL17	10.000,000000	41,441100	-	10.041,441100	Padrão - SND	Reg.	
17/01/2019	VRGL17	10.000,000000	38,475400	-	10.038,475400	Padrão - SND	Reg.	
16/01/2019	VRGL17	10.000,000000	35,510500	-	10.035,510500	Padrão - SND	Reg.	
15/01/2019	VRGL17	10.000,000000	32,546400	-	10.032,546400	Padrão - SND	Reg.	
14/01/2019	VRGL17	10.000,000000	29,583300	-	10.029,583300	Padrão - SND	Reg.	
11/01/2019	VRGL17	10.000,000000	26,621000	-	10.026,621000	Padrão - SND	Reg.	
10/01/2019	VRGL17	10.000,000000	23,659700	-	10.023,659700	Padrão - SND	Reg.	
