PU Histórico - Gerado em 07/10/2018 16:30:33

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	VTLA11	866,103258	21,642949	-	887,746207	Padrão - SND	Reg.	
04/10/2018	VTLA11	865,921312	21,361147	-	887,282459	Padrão - SND	Reg.	
03/10/2018	VTLA11	865,739391	21,079550	-	886,818941	Padrão - SND	Reg.	
02/10/2018	VTLA11	865,557521	20,798156	-	886,355677	Padrão - SND	Reg.	
01/10/2018	VTLA11	865,375677	20,516966	-	885,892643	Padrão - SND	Reg.	
28/09/2018	VTLA11	865,193875	20,235981	-	885,429856	Padrão - SND	Reg.	
27/09/2018	VTLA11	865,012107	19,955198	-	884,967305	Padrão - SND	Reg.	
26/09/2018	VTLA11	864,830382	19,674619	-	884,505001	Padrão - SND	Reg.	
25/09/2018	VTLA11	864,648700	19,394243	-	884,042943	Padrão - SND	Reg.	
24/09/2018	VTLA11	864,467051	19,114071	-	883,581122	Padrão - SND	Reg.	
21/09/2018	VTLA11	864,140405	18,830941	-	882,971346	Padrão - SND	Reg.	
20/09/2018	VTLA11	863,995110	18,551999	-	882,547110	Padrão - SND	Reg.	
19/09/2018	VTLA11	863,849849	18,273238	-	882,123087	Padrão - SND	Reg.	
18/09/2018	VTLA11	863,704597	17,994656	-	881,699252	Padrão - SND	Reg.	
17/09/2018	VTLA11	866,322766	17,772944	-	884,095710	Padrão - SND	Reg.	
14/09/2018	VTLA11	863,594685	17,441674	-	881,036359	Padrão - SND	Reg.	
13/09/2018	VTLA11	863,629992	17,167159	-	880,797152	Padrão - SND	Reg.	
12/09/2018	VTLA11	863,665300	16,892708	-	880,558007	Padrão - SND	Reg.	
11/09/2018	VTLA11	863,700615	16,618319	-	880,318934	Padrão - SND	Reg.	
10/09/2018	VTLA11	863,735922	16,343995	-	880,079917	Padrão - SND	Reg.	
06/09/2018	VTLA11	864,336432	16,080249	-	880,416681	Padrão - SND	Reg.	
05/09/2018	VTLA11	864,336432	15,805226	-	880,141658	Padrão - SND	Reg.	
04/09/2018	VTLA11	864,336432	15,530288	-	879,866720	Padrão - SND	Reg.	
03/09/2018	VTLA11	864,336432	15,255437	-	879,591869	Padrão - SND	Reg.	
31/08/2018	VTLA11	864,336432	14,980671	-	879,317103	Padrão - SND	Reg.	
30/08/2018	VTLA11	864,336432	14,705991	-	879,042423	Padrão - SND	Reg.	
29/08/2018	VTLA11	864,336432	14,431397	-	878,767829	Padrão - SND	Reg.	
28/08/2018	VTLA11	864,336432	14,156889	-	878,493321	Padrão - SND	Reg.	
27/08/2018	VTLA11	864,336432	13,882466	-	878,218898	Padrão - SND	Reg.	
24/08/2018	VTLA11	864,336432	13,608129	-	877,944561	Padrão - SND	Reg.	
