PU Histórico - Gerado em 17/02/2019 12:21:01

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	WWHD11	1.000.000,000000	13.516,325000	-	1.013.516,325000	Padrão - SND	Reg.	
14/02/2019	WWHD11	1.000.000,000000	13.226,844000	-	1.013.226,844000	Padrão - SND	Reg.	
13/02/2019	WWHD11	1.000.000,000000	12.937,454000	-	1.012.937,454000	Padrão - SND	Reg.	
12/02/2019	WWHD11	1.000.000,000000	12.648,147000	-	1.012.648,147000	Padrão - SND	Reg.	
11/02/2019	WWHD11	1.000.000,000000	12.358,919000	-	1.012.358,919000	Padrão - SND	Reg.	
08/02/2019	WWHD11	1.000.000,000000	12.069,774000	-	1.012.069,774000	Padrão - SND	Reg.	
07/02/2019	WWHD11	1.000.000,000000	11.780,710000	-	1.011.780,710000	Padrão - SND	Reg.	
06/02/2019	WWHD11	1.000.000,000000	11.491,737000	-	1.011.491,737000	Padrão - SND	Reg.	
05/02/2019	WWHD11	1.000.000,000000	11.202,836000	-	1.011.202,836000	Padrão - SND	Reg.	
04/02/2019	WWHD11	1.000.000,000000	10.914,025000	-	1.010.914,025000	Padrão - SND	Reg.	
01/02/2019	WWHD11	1.000.000,000000	10.625,296000	-	1.010.625,296000	Padrão - SND	Reg.	
31/01/2019	WWHD11	1.000.000,000000	10.336,639000	-	1.010.336,639000	Padrão - SND	Reg.	
30/01/2019	WWHD11	1.000.000,000000	10.048,073000	-	1.010.048,073000	Padrão - SND	Reg.	
29/01/2019	WWHD11	1.000.000,000000	9.759,588000	-	1.009.759,588000	Padrão - SND	Reg.	
28/01/2019	WWHD11	1.000.000,000000	9.471,194000	-	1.009.471,194000	Padrão - SND	Reg.	
25/01/2019	WWHD11	1.000.000,000000	9.182,872000	-	1.009.182,872000	Padrão - SND	Reg.	
24/01/2019	WWHD11	1.000.000,000000	8.894,631000	-	1.008.894,631000	Padrão - SND	Reg.	
23/01/2019	WWHD11	1.000.000,000000	8.606,481000	-	1.008.606,481000	Padrão - SND	Reg.	
22/01/2019	WWHD11	1.000.000,000000	8.318,403000	-	1.008.318,403000	Padrão - SND	Reg.	
21/01/2019	WWHD11	1.000.000,000000	8.030,415000	-	1.008.030,415000	Padrão - SND	Reg.	
18/01/2019	WWHD11	1.000.000,000000	7.742,508000	-	1.007.742,508000	Padrão - SND	Reg.	
17/01/2019	WWHD11	1.000.000,000000	7.454,684000	-	1.007.454,684000	Padrão - SND	Reg.	
16/01/2019	WWHD11	1.000.000,000000	7.166,940000	-	1.007.166,940000	Padrão - SND	Reg.	
15/01/2019	WWHD11	1.000.000,000000	6.879,278000	-	1.006.879,278000	Padrão - SND	Reg.	
14/01/2019	WWHD11	1.000.000,000000	6.591,697000	-	1.006.591,697000	Padrão - SND	Reg.	
11/01/2019	WWHD11	1.000.000,000000	6.304,196000	-	1.006.304,196000	Padrão - SND	Reg.	
10/01/2019	WWHD11	1.000.000,000000	6.016,787000	-	1.006.016,787000	Padrão - SND	Reg.	
09/01/2019	WWHD11	1.000.000,000000	5.729,450000	-	1.005.729,450000	Padrão - SND	Reg.	
08/01/2019	WWHD11	1.000.000,000000	5.442,204000	-	1.005.442,204000	Padrão - SND	Reg.	
07/01/2019	WWHD11	1.000.000,000000	5.155,038000	-	1.005.155,038000	Padrão - SND	Reg.	
04/01/2019	WWHD11	1.000.000,000000	4.867,944000	-	1.004.867,944000	Padrão - SND	Reg.	
03/01/2019	WWHD11	1.000.000,000000	4.580,941000	-	1.004.580,941000	Padrão - SND	Reg.	
02/01/2019	WWHD11	1.000.000,000000	4.294,019000	-	1.004.294,019000	Padrão - SND	Reg.	
31/12/2018	WWHD11	1.000.000,000000	4.007,178000	-	1.004.007,178000	Padrão - SND	Reg.	
28/12/2018	WWHD11	1.000.000,000000	3.720,419000	-	1.003.720,419000	Padrão - SND	Reg.	
27/12/2018	WWHD11	1.000.000,000000	3.433,740000	-	1.003.433,740000	Padrão - SND	Reg.	
26/12/2018	WWHD11	1.000.000,000000	3.147,152000	-	1.003.147,152000	Padrão - SND	Reg.	
24/12/2018	WWHD11	1.000.000,000000	2.860,635000	-	1.002.860,635000	Padrão - SND	Reg.	
21/12/2018	WWHD11	1.000.000,000000	2.574,200000	-	1.002.574,200000	Padrão - SND	Reg.	
20/12/2018	WWHD11	1.000.000,000000	2.287,856000	-	1.002.287,856000	Padrão - SND	Reg.	
19/12/2018	WWHD11	1.000.000,000000	2.001,583000	-	1.002.001,583000	Padrão - SND	Reg.	
18/12/2018	WWHD11	1.000.000,000000	1.715,401000	-	1.001.715,401000	Padrão - SND	Reg.	
17/12/2018	WWHD11	1.000.000,000000	1.429,300000	-	1.001.429,300000	Padrão - SND	Reg.	
14/12/2018	WWHD11	1.000.000,000000	1.143,270000	-	1.001.143,270000	Padrão - SND	Reg.	
13/12/2018	WWHD11	1.000.000,000000	857,331000	-	1.000.857,331000	Padrão - SND	Reg.	
12/12/2018	WWHD11	1.000.000,000000	571,473000	-	1.000.571,473000	Padrão - SND	Reg.	
11/12/2018	WWHD11	1.000.000,000000	285,696000	-	1.000.285,696000	Padrão - SND	Reg.	
10/12/2018	WWHD11	1.000.000,000000	-  	-	1.000.000,000000	Padrão - SND	Reg.	
07/12/2018	WWHD11	1.000.000,000000	13.226,844000	-	1.013.226,844000	Padrão - SND	Reg.	
06/12/2018	WWHD11	1.000.000,000000	12.937,455000	-	1.012.937,455000	Padrão - SND	Reg.	
05/12/2018	WWHD11	1.000.000,000000	12.648,147000	-	1.012.648,147000	Padrão - SND	Reg.	
04/12/2018	WWHD11	1.000.000,000000	12.358,919000	-	1.012.358,919000	Padrão - SND	Reg.	
03/12/2018	WWHD11	1.000.000,000000	12.069,775000	-	1.012.069,775000	Padrão - SND	Reg.	
30/11/2018	WWHD11	1.000.000,000000	11.780,710000	-	1.011.780,710000	Padrão - SND	Reg.	
29/11/2018	WWHD11	1.000.000,000000	11.491,737000	-	1.011.491,737000	Padrão - SND	Reg.	
28/11/2018	WWHD11	1.000.000,000000	11.202,836000	-	1.011.202,836000	Padrão - SND	Reg.	
27/11/2018	WWHD11	1.000.000,000000	10.914,025000	-	1.010.914,025000	Padrão - SND	Reg.	
26/11/2018	WWHD11	1.000.000,000000	10.625,296000	-	1.010.625,296000	Padrão - SND	Reg.	
23/11/2018	WWHD11	1.000.000,000000	10.336,639000	-	1.010.336,639000	Padrão - SND	Reg.	
22/11/2018	WWHD11	1.000.000,000000	10.048,073000	-	1.010.048,073000	Padrão - SND	Reg.	
21/11/2018	WWHD11	1.000.000,000000	9.759,588000	-	1.009.759,588000	Padrão - SND	Reg.	
20/11/2018	WWHD11	1.000.000,000000	9.471,194000	-	1.009.471,194000	Padrão - SND	Reg.	
19/11/2018	WWHD11	1.000.000,000000	9.182,872000	-	1.009.182,872000	Padrão - SND	Reg.	
16/11/2018	WWHD11	1.000.000,000000	8.894,631000	-	1.008.894,631000	Padrão - SND	Reg.	
14/11/2018	WWHD11	1.000.000,000000	8.606,481000	-	1.008.606,481000	Padrão - SND	Reg.	
13/11/2018	WWHD11	1.000.000,000000	8.318,403000	-	1.008.318,403000	Padrão - SND	Reg.	
12/11/2018	WWHD11	1.000.000,000000	8.030,415000	-	1.008.030,415000	Padrão - SND	Reg.	
09/11/2018	WWHD11	1.000.000,000000	7.742,509000	-	1.007.742,509000	Padrão - SND	Reg.	
08/11/2018	WWHD11	1.000.000,000000	7.454,684000	-	1.007.454,684000	Padrão - SND	Reg.	
07/11/2018	WWHD11	1.000.000,000000	7.166,940000	-	1.007.166,940000	Padrão - SND	Reg.	
06/11/2018	WWHD11	1.000.000,000000	6.879,278000	-	1.006.879,278000	Padrão - SND	Reg.	
05/11/2018	WWHD11	1.000.000,000000	6.591,697000	-	1.006.591,697000	Padrão - SND	Reg.	
01/11/2018	WWHD11	1.000.000,000000	6.304,196000	-	1.006.304,196000	Padrão - SND	Reg.	
31/10/2018	WWHD11	1.000.000,000000	6.016,787000	-	1.006.016,787000	Padrão - SND	Reg.	
30/10/2018	WWHD11	1.000.000,000000	5.729,450000	-	1.005.729,450000	Padrão - SND	Reg.	
29/10/2018	WWHD11	1.000.000,000000	5.442,204000	-	1.005.442,204000	Padrão - SND	Reg.	
26/10/2018	WWHD11	1.000.000,000000	5.155,038000	-	1.005.155,038000	Padrão - SND	Reg.	
25/10/2018	WWHD11	1.000.000,000000	4.867,944000	-	1.004.867,944000	Padrão - SND	Reg.	
24/10/2018	WWHD11	1.000.000,000000	4.580,941000	-	1.004.580,941000	Padrão - SND	Reg.	
23/10/2018	WWHD11	1.000.000,000000	4.294,019000	-	1.004.294,019000	Padrão - SND	Reg.	
22/10/2018	WWHD11	1.000.000,000000	4.007,178000	-	1.004.007,178000	Padrão - SND	Reg.	
19/10/2018	WWHD11	1.000.000,000000	3.720,419000	-	1.003.720,419000	Padrão - SND	Reg.	
18/10/2018	WWHD11	1.000.000,000000	3.433,740000	-	1.003.433,740000	Padrão - SND	Reg.	
17/10/2018	WWHD11	1.000.000,000000	3.147,152000	-	1.003.147,152000	Padrão - SND	Reg.	
16/10/2018	WWHD11	1.000.000,000000	2.860,635000	-	1.002.860,635000	Padrão - SND	Reg.	
15/10/2018	WWHD11	1.000.000,000000	2.574,200000	-	1.002.574,200000	Padrão - SND	Reg.	
11/10/2018	WWHD11	1.000.000,000000	2.287,856000	-	1.002.287,856000	Padrão - SND	Reg.	
10/10/2018	WWHD11	1.000.000,000000	2.001,583000	-	1.002.001,583000	Padrão - SND	Reg.	
09/10/2018	WWHD11	1.000.000,000000	1.715,401000	-	1.001.715,401000	Padrão - SND	Reg.	
08/10/2018	WWHD11	1.000.000,000000	1.429,300000	-	1.001.429,300000	Padrão - SND	Reg.	
05/10/2018	WWHD11	1.000.000,000000	1.143,270000	-	1.001.143,270000	Padrão - SND	Reg.	
04/10/2018	WWHD11	1.000.000,000000	857,331000	-	1.000.857,331000	Padrão - SND	Reg.	
03/10/2018	WWHD11	1.000.000,000000	571,473000	-	1.000.571,473000	Padrão - SND	Reg.	
02/10/2018	WWHD11	1.000.000,000000	285,696000	-	1.000.285,696000	Padrão - SND	Reg.	
01/10/2018	WWHD11	1.000.000,000000	-  	-	1.000.000,000000	Padrão - SND	Reg.	
28/09/2018	WWHD11	1.000.000,000000	-  	-	1.000.000,000000	Padrão - SND	Reg.	
27/09/2018	WWHD11	1.000.000,000000	-  	-	1.000.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
