PU Histórico - Gerado em 07/10/2018 16:30:46

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	YOUC11	72.390,000000	2.386,778798	-	74.776,778798	Padrão - SND	Reg.	
04/10/2018	YOUC11	72.390,000000	2.351,089080	-	74.741,089080	Padrão - SND	Reg.	
03/10/2018	YOUC11	72.390,000000	2.315,416229	-	74.705,416229	Padrão - SND	Reg.	
02/10/2018	YOUC11	72.390,000000	2.279,761114	-	74.669,761114	Padrão - SND	Reg.	
01/10/2018	YOUC11	72.390,000000	2.244,122214	-	74.634,122214	Padrão - SND	Reg.	
28/09/2018	YOUC11	72.390,000000	2.208,528774	-	74.598,528774	Padrão - SND	Reg.	
27/09/2018	YOUC11	72.390,000000	2.172,951478	-	74.562,951478	Padrão - SND	Reg.	
26/09/2018	YOUC11	72.390,000000	2.137,391773	-	74.527,391773	Padrão - SND	Reg.	
25/09/2018	YOUC11	72.390,000000	2.101,849007	-	74.491,849007	Padrão - SND	Reg.	
24/09/2018	YOUC11	72.390,000000	2.066,322311	-	74.456,322311	Padrão - SND	Reg.	
21/09/2018	YOUC11	72.390,000000	2.030,813134	-	74.420,813134	Padrão - SND	Reg.	
20/09/2018	YOUC11	72.390,000000	1.995,321548	-	74.385,321548	Padrão - SND	Reg.	
19/09/2018	YOUC11	72.390,000000	1.959,846177	-	74.349,846177	Padrão - SND	Reg.	
18/09/2018	YOUC11	72.390,000000	1.924,387528	-	74.314,387528	Padrão - SND	Reg.	
17/09/2018	YOUC11	72.390,000000	1.888,946470	-	74.278,946470	Padrão - SND	Reg.	
14/09/2018	YOUC11	72.390,000000	1.853,521482	-	74.243,521482	Padrão - SND	Reg.	
13/09/2018	YOUC11	72.390,000000	1.818,114013	-	74.208,114013	Padrão - SND	Reg.	
12/09/2018	YOUC11	72.390,000000	1.782,723411	-	74.172,723411	Padrão - SND	Reg.	
11/09/2018	YOUC11	72.390,000000	1.747,349458	-	74.137,349458	Padrão - SND	Reg.	
10/09/2018	YOUC11	72.390,000000	1.711,992445	-	74.101,992445	Padrão - SND	Reg.	
06/09/2018	YOUC11	72.390,000000	1.676,652877	-	74.066,652877	Padrão - SND	Reg.	
05/09/2018	YOUC11	72.390,000000	1.641,329381	-	74.031,329381	Padrão - SND	Reg.	
04/09/2018	YOUC11	72.390,000000	1.606,022533	-	73.996,022533	Padrão - SND	Reg.	
03/09/2018	YOUC11	72.390,000000	1.570,733277	-	73.960,733277	Padrão - SND	Reg.	
31/08/2018	YOUC11	72.390,000000	1.535,460815	-	73.925,460815	Padrão - SND	Reg.	
30/08/2018	YOUC11	72.390,000000	1.500,204279	-	73.890,204279	Padrão - SND	Reg.	
29/08/2018	YOUC11	72.390,000000	1.464,965262	-	73.854,965262	Padrão - SND	Reg.	
28/08/2018	YOUC11	72.390,000000	1.429,742966	-	73.819,742966	Padrão - SND	Reg.	
27/08/2018	YOUC11	72.390,000000	1.394,537320	-	73.784,537320	Padrão - SND	Reg.	
24/08/2018	YOUC11	72.390,000000	1.359,349193	-	73.749,349193	Padrão - SND	Reg.	
23/08/2018	YOUC11	72.390,000000	1.324,177063	-	73.714,177063	Padrão - SND	Reg.	
22/08/2018	YOUC11	72.390,000000	1.289,021584	-	73.679,021584	Padrão - SND	Reg.	
21/08/2018	YOUC11	72.390,000000	1.253,883550	-	73.643,883550	Padrão - SND	Reg.	
20/08/2018	YOUC11	72.390,000000	1.218,761442	-	73.608,761442	Padrão - SND	Reg.	
17/08/2018	YOUC11	72.390,000000	1.183,656781	-	73.573,656781	Padrão - SND	Reg.	
16/08/2018	YOUC11	72.390,000000	1.148,568768	-	73.538,568768	Padrão - SND	Reg.	
15/08/2018	YOUC11	72.390,000000	1.113,497478	-	73.503,497478	Padrão - SND	Reg.	
14/08/2018	YOUC11	72.390,000000	1.078,442766	-	73.468,442766	Padrão - SND	Reg.	
13/08/2018	YOUC11	72.390,000000	1.043,404775	-	73.433,404775	Padrão - SND	Reg.	
10/08/2018	YOUC11	72.390,000000	1.008,383362	-	73.398,383362	Padrão - SND	Reg.	
09/08/2018	YOUC11	72.390,000000	973,378743	-	73.363,378743	Padrão - SND	Reg.	
08/08/2018	YOUC11	72.390,000000	938,391353	-	73.328,391353	Padrão - SND	Reg.	
07/08/2018	YOUC11	72.390,000000	903,419889	-	73.293,419889	Padrão - SND	Reg.	
06/08/2018	YOUC11	72.390,000000	868,465074	-	73.258,465074	Padrão - SND	Reg.	
03/08/2018	YOUC11	72.390,000000	833,527488	-	73.223,527488	Padrão - SND	Reg.	
