PU Histórico - Gerado em 07/10/2018 16:30:48

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	YUNY11	40.000,000000	-  	-	40.000,000000	Padrão - SND	Reg.	
04/10/2018	YUNY11	40.000,000000	920,253080	-	40.920,253080	Padrão - SND	Reg.	
03/10/2018	YUNY11	40.000,000000	905,698240	-	40.905,698240	Padrão - SND	Reg.	
02/10/2018	YUNY11	40.000,000000	891,148480	-	40.891,148480	Padrão - SND	Reg.	
01/10/2018	YUNY11	40.000,000000	876,603840	-	40.876,603840	Padrão - SND	Reg.	
28/09/2018	YUNY11	40.000,000000	862,079640	-	40.862,079640	Padrão - SND	Reg.	
27/09/2018	YUNY11	40.000,000000	847,560160	-	40.847,560160	Padrão - SND	Reg.	
26/09/2018	YUNY11	40.000,000000	833,046160	-	40.833,046160	Padrão - SND	Reg.	
25/09/2018	YUNY11	40.000,000000	818,537680	-	40.818,537680	Padrão - SND	Reg.	
24/09/2018	YUNY11	40.000,000000	804,033920	-	40.804,033920	Padrão - SND	Reg.	
21/09/2018	YUNY11	40.000,000000	789,535240	-	40.789,535240	Padrão - SND	Reg.	
20/09/2018	YUNY11	40.000,000000	775,042080	-	40.775,042080	Padrão - SND	Reg.	
19/09/2018	YUNY11	40.000,000000	760,553560	-	40.760,553560	Padrão - SND	Reg.	
18/09/2018	YUNY11	40.000,000000	746,070600	-	40.746,070600	Padrão - SND	Reg.	
17/09/2018	YUNY11	40.000,000000	731,592720	-	40.731,592720	Padrão - SND	Reg.	
14/09/2018	YUNY11	40.000,000000	717,119960	-	40.717,119960	Padrão - SND	Reg.	
13/09/2018	YUNY11	40.000,000000	702,652280	-	40.702,652280	Padrão - SND	Reg.	
12/09/2018	YUNY11	40.000,000000	688,190080	-	40.688,190080	Padrão - SND	Reg.	
11/09/2018	YUNY11	40.000,000000	673,732560	-	40.673,732560	Padrão - SND	Reg.	
10/09/2018	YUNY11	40.000,000000	659,280160	-	40.659,280160	Padrão - SND	Reg.	
06/09/2018	YUNY11	40.000,000000	644,833240	-	40.644,833240	Padrão - SND	Reg.	
05/09/2018	YUNY11	40.000,000000	630,391440	-	40.630,391440	Padrão - SND	Reg.	
04/09/2018	YUNY11	40.000,000000	615,954280	-	40.615,954280	Padrão - SND	Reg.	
03/09/2018	YUNY11	40.000,000000	601,522640	-	40.601,522640	Padrão - SND	Reg.	
31/08/2018	YUNY11	40.000,000000	587,096080	-	40.587,096080	Padrão - SND	Reg.	
30/08/2018	YUNY11	40.000,000000	572,674640	-	40.572,674640	Padrão - SND	Reg.	
29/08/2018	YUNY11	40.000,000000	558,258600	-	40.558,258600	Padrão - SND	Reg.	
28/08/2018	YUNY11	40.000,000000	543,847320	-	40.543,847320	Padrão - SND	Reg.	
27/08/2018	YUNY11	40.000,000000	529,441080	-	40.529,441080	Padrão - SND	Reg.	
24/08/2018	YUNY11	40.000,000000	515,040360	-	40.515,040360	Padrão - SND	Reg.	
23/08/2018	YUNY11	40.000,000000	500,644240	-	40.500,644240	Padrão - SND	Reg.	
22/08/2018	YUNY11	40.000,000000	486,253640	-	40.486,253640	Padrão - SND	Reg.	
21/08/2018	YUNY11	40.000,000000	471,868160	-	40.471,868160	Padrão - SND	Reg.	
20/08/2018	YUNY11	40.000,000000	457,487720	-	40.457,487720	Padrão - SND	Reg.	
17/08/2018	YUNY11	40.000,000000	443,112320	-	40.443,112320	Padrão - SND	Reg.	
16/08/2018	YUNY11	40.000,000000	428,742080	-	40.428,742080	Padrão - SND	Reg.	
15/08/2018	YUNY11	40.000,000000	414,376840	-	40.414,376840	Padrão - SND	Reg.	
14/08/2018	YUNY11	40.000,000000	400,016680	-	40.400,016680	Padrão - SND	Reg.	
13/08/2018	YUNY11	40.000,000000	385,662000	-	40.385,662000	Padrão - SND	Reg.	
10/08/2018	YUNY11	40.000,000000	371,312000	-	40.371,312000	Padrão - SND	Reg.	
09/08/2018	YUNY11	40.000,000000	356,967040	-	40.356,967040	Padrão - SND	Reg.	
08/08/2018	YUNY11	40.000,000000	342,627520	-	40.342,627520	Padrão - SND	Reg.	
07/08/2018	YUNY11	40.000,000000	328,293120	-	40.328,293120	Padrão - SND	Reg.	
06/08/2018	YUNY11	40.000,000000	313,963360	-	40.313,963360	Padrão - SND	Reg.	
03/08/2018	YUNY11	40.000,000000	299,639080	-	40.299,639080	Padrão - SND	Reg.	
02/08/2018	YUNY11	40.000,000000	285,319840	-	40.285,319840	Padrão - SND	Reg.	
01/08/2018	YUNY11	40.000,000000	271,005680	-	40.271,005680	Padrão - SND	Reg.	
31/07/2018	YUNY11	40.000,000000	256,696560	-	40.256,696560	Padrão - SND	Reg.	
30/07/2018	YUNY11	40.000,000000	242,392480	-	40.242,392480	Padrão - SND	Reg.	
27/07/2018	YUNY11	40.000,000000	228,093480	-	40.228,093480	Padrão - SND	Reg.	
26/07/2018	YUNY11	40.000,000000	213,799560	-	40.213,799560	Padrão - SND	Reg.	
25/07/2018	YUNY11	40.000,000000	199,510640	-	40.199,510640	Padrão - SND	Reg.	
24/07/2018	YUNY11	40.000,000000	185,227200	-	40.185,227200	Padrão - SND	Reg.	
23/07/2018	YUNY11	40.000,000000	170,948400	-	40.170,948400	Padrão - SND	Reg.	
20/07/2018	YUNY11	40.000,000000	156,675080	-	40.156,675080	Padrão - SND	Reg.	
19/07/2018	YUNY11	40.000,000000	142,406360	-	40.142,406360	Padrão - SND	Reg.	
