PU Histórico - Gerado em 17/02/2019 12:21:04

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	ZMPT11	1.000,000000	6,563850	-	1.006,563850	Padrão - SND	Reg.	
14/02/2019	ZMPT11	1.000,000000	6,198057	-	1.006,198057	Padrão - SND	Reg.	
13/02/2019	ZMPT11	1.000,000000	5,832406	-	1.005,832406	Padrão - SND	Reg.	
12/02/2019	ZMPT11	1.000,000000	5,466887	-	1.005,466887	Padrão - SND	Reg.	
11/02/2019	ZMPT11	1.000,000000	5,101499	-	1.005,101499	Padrão - SND	Reg.	
08/02/2019	ZMPT11	1.000,000000	4,736243	-	1.004,736243	Padrão - SND	Reg.	
07/02/2019	ZMPT11	1.000,000000	4,371120	-	1.004,371120	Padrão - SND	Reg.	
06/02/2019	ZMPT11	1.000,000000	4,006139	-	1.004,006139	Padrão - SND	Reg.	
05/02/2019	ZMPT11	1.000,000000	3,641280	-	1.003,641280	Padrão - SND	Reg.	
04/02/2019	ZMPT11	1.000,000000	3,276552	-	1.003,276552	Padrão - SND	Reg.	
01/02/2019	ZMPT11	1.000,000000	2,911966	-	1.002,911966	Padrão - SND	Reg.	
31/01/2019	ZMPT11	1.000,000000	2,547502	-	1.002,547502	Padrão - SND	Reg.	
30/01/2019	ZMPT11	1.000,000000	2,183180	-	1.002,183180	Padrão - SND	Reg.	
29/01/2019	ZMPT11	1.000,000000	1,818989	-	1.001,818989	Padrão - SND	Reg.	
28/01/2019	ZMPT11	1.000,000000	1,454919	-	1.001,454919	Padrão - SND	Reg.	
25/01/2019	ZMPT11	1.000,000000	1,090992	-	1.001,090992	Padrão - SND	Reg.	
24/01/2019	ZMPT11	1.000,000000	0,727197	-	1.000,727197	Padrão - SND	Reg.	
23/01/2019	ZMPT11	1.000,000000	0,363533	-	1.000,363533	Padrão - SND	Reg.	
22/01/2019	ZMPT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
21/01/2019	ZMPT11	1.000,000000	6,563849	-	1.006,563849	Padrão - SND	Reg.	
18/01/2019	ZMPT11	1.000,000000	6,198057	-	1.006,198057	Padrão - SND	Reg.	
17/01/2019	ZMPT11	1.000,000000	5,832405	-	1.005,832405	Padrão - SND	Reg.	
16/01/2019	ZMPT11	1.000,000000	5,466886	-	1.005,466886	Padrão - SND	Reg.	
15/01/2019	ZMPT11	1.000,000000	5,101499	-	1.005,101499	Padrão - SND	Reg.	
14/01/2019	ZMPT11	1.000,000000	4,736243	-	1.004,736243	Padrão - SND	Reg.	
11/01/2019	ZMPT11	1.000,000000	4,371120	-	1.004,371120	Padrão - SND	Reg.	
10/01/2019	ZMPT11	1.000,000000	4,006139	-	1.004,006139	Padrão - SND	Reg.	
09/01/2019	ZMPT11	1.000,000000	3,641279	-	1.003,641279	Padrão - SND	Reg.	
08/01/2019	ZMPT11	1.000,000000	3,276552	-	1.003,276552	Padrão - SND	Reg.	
07/01/2019	ZMPT11	1.000,000000	2,911966	-	1.002,911966	Padrão - SND	Reg.	
04/01/2019	ZMPT11	1.000,000000	2,547502	-	1.002,547502	Padrão - SND	Reg.	
03/01/2019	ZMPT11	1.000,000000	2,183180	-	1.002,183180	Padrão - SND	Reg.	
02/01/2019	ZMPT11	1.000,000000	1,818989	-	1.001,818989	Padrão - SND	Reg.	
31/12/2018	ZMPT11	1.000,000000	1,454919	-	1.001,454919	Padrão - SND	Reg.	
28/12/2018	ZMPT11	1.000,000000	1,090992	-	1.001,090992	Padrão - SND	Reg.	
27/12/2018	ZMPT11	1.000,000000	0,727197	-	1.000,727197	Padrão - SND	Reg.	
26/12/2018	ZMPT11	1.000,000000	0,363533	-	1.000,363533	Padrão - SND	Reg.	
24/12/2018	ZMPT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
21/12/2018	ZMPT11	1.000,000000	7,662003	-	1.007,662003	Padrão - SND	Reg.	
20/12/2018	ZMPT11	1.000,000000	7,295813	-	1.007,295813	Padrão - SND	Reg.	
19/12/2018	ZMPT11	1.000,000000	6,929765	-	1.006,929765	Padrão - SND	Reg.	
18/12/2018	ZMPT11	1.000,000000	6,563850	-	1.006,563850	Padrão - SND	Reg.	
